,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Antigüedad,Bodegas,Orientación
462,Departamento Amoblado Cerca De Estaciones El Golf Y Tobalaba,Departamento,Publicado hace 9 días,2021-07-01,"El Canelo 2700 - 3000, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",400.000,,"0,28 UF/m²","0,34 UF/m²",48 m²,48 m²,1,1,1,,,,,,,
463,"Barrio Consolidado - Plaza Las Lilas, Plaza Rio De Janeiro",Departamento,Publicado hace 9 días,2021-07-01,"Avenida Hernando De Aguirre 1500 - 1800, Las Lilas, Providencia, RM (Metropolitana)",800.000,,"0,29 UF/m²","0,28 UF/m²",94 m²,75 m²,2,2,2,,,,,,,
464,Departamento A Pasos Parque Y Metro Inés De Suárez ,Departamento,Publicado hace 9 días,2021-07-01,"Avenida Pedro De Valdivia 1800 - 2100, Inés de Suárez, Providencia, RM (Metropolitana)",600.000,,"0,25 UF/m²","0,28 UF/m²",81 m²,68 m²,2,2,1,,,,,,,
465,"Departamento Providencia Sur , Pedro Lautaro Ferrer 3357.",Departamento,Publicado hace 9 días,2021-07-01,"Doctor Pedro Lautaro Ferrer 3357, Campus Oriente, Providencia, RM (Metropolitana)",340.000,,"0,27 UF/m²","0,34 UF/m²",42 m²,36 m²,1,1,,70000 CLP,,,,,,
466,*** Mejor Ubicación Imposible *** ,Departamento,Publicado hace 8 días,2021-07-01,"Amapolas 1200 - 1500, Las Lilas, Providencia, RM (Metropolitana)",25,742.820,"0,29 UF/m²","0,28 UF/m²",87 m²,73 m²,2,2,1,170000 CLP,,,,,,
467,Departamento En Moderno Edificio 2 Dorms 2 Estac - Bodega,Departamento,Publicado hace 8 días,2021-07-01,"Rep De Cuba 1500 - 1800, Las Lilas, Providencia, RM (Metropolitana)",720.000,,"0,26 UF/m²","0,28 UF/m²",92 m²,80 m²,2,2,2,150000 CLP,,,,,,
468,"Amplio Departamento Semi Aoblado, Cercano A Metro Tobalaba",Departamento,Publicado hace 8 días,2021-07-01,"San Pio X 2400 - 2700, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",890.000,,"0,25 UF/m²","0,23 UF/m²",118 m²,110 m²,4,3,,,,,,,,
469,Arriendo Departamento Amoblado Nueva Providencia (4489),Departamento,Publicado hace 8 días,2021-07-01,"Avenida Providencia 1645, Pedro de Valdivia, Providencia, RM (Metropolitana)",650.000,,"0,19 UF/m²","0,24 UF/m²",114 m²,114 m²,4,2,,,,,,,,
470,Estupendo Departamento Lado Metro Colón,Departamento,Publicado hace 8 días,2021-07-01,"Tobalaba 1200 - 1500, Las Lilas, Providencia, RM (Metropolitana)",1.000.000,,"0,22 UF/m²","0,23 UF/m²",155 m²,140 m²,4,3,2,,,,,,,
471,Comodo Departamento Al Lado De Todo,Departamento,Publicado hace 8 días,2021-07-01,"Las Bellotas 270, Manuel Montt, Providencia, RM (Metropolitana)",20,594.256,"0,29 UF/m²","0,28 UF/m²",70 m²,63 m²,2,2,1,,,,,,,
472,"Pedro Valdivia/eleodoro Yañez, Impecable",Departamento,Publicado hace 8 días,2021-07-01,"Federico Froebel 1800 - 2100, Pedro de Valdivia, Providencia, RM (Metropolitana)",570.000,,"0,3 UF/m²","0,28 UF/m²",64 m²,64 m²,2,2,1,,,,,,,
473,Departamento En Europa Providencia Disponible Septiembre ,Departamento,Publicado hace 8 días,2021-07-01,"Europa 2100 - 2400, Los Leones, Providencia, RM (Metropolitana)",580.000,,"0,23 UF/m²","0,25 UF/m²",85 m²,85 m²,3,3,1,,,,,,,
474,Nuevo Sin Uso Roller Aire Acondicionado,Departamento,Publicado hace 8 días,2021-07-01,"San Pío X 2400 - 2700, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",450.000,,"0,32 UF/m²","0,34 UF/m²",46.61 m²,41.14 m²,1,1,,,,,,,,
475,Nuevo Sin Uso Roller ,Departamento,Publicado hace 8 días,2021-07-01,"San Pío X 2400 - 2700, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",390.000,,"0,31 UF/m²","0,34 UF/m²",41.7 m²,34.66 m²,1,1,,,,,,,,
476,Depto Con Excelente Ubicación Frente A U. San Sebastián ,Departamento,Publicado hace 8 días,2021-07-01,"Lota 2400 - 2700, Las Lilas, Providencia, RM (Metropolitana)",590.000,,"0,28 UF/m²","0,28 UF/m²",72 m²,70 m²,2,2,1,170000 CLP,,,,,,
477,Se Arrienda Dpto En Providencia 1765 ,Departamento,Publicado hace 8 días,2021-07-01,"Avenida Providencia 1765 - Departamento 300 - 600, Pedro de Valdivia, Providencia, RM (Metropolitana)",500.000,,"0,26 UF/m²","0,26 UF/m²",65 m²,65 m²,3,2,,84000 CLP,,,,,,
478,Hermoso Depto (piso Lota Iii - Interno: 210000 - 210300),Departamento,,2021-07-01,"Lota 2400 - 2700, Las Lilas, Providencia, RM (Metropolitana)",970.000,,"0,19 UF/m²",,174 m²,174 m²,2,2,2,180000 CLP,,,,,,
479,Arriendo Departamento A 1 Cuadra De Metro Los Leones.,Departamento,Publicado hace 8 días,2021-07-01,"Gath Y Chaves 2400 - 2700, Las Lilas, Providencia, RM (Metropolitana)",550.000,,"0,32 UF/m²","0,34 UF/m²",58 m²,48 m²,1,1,1,140000 CLP,,,,,,
480,Luminoso Departamento Metro Tobalaba / Costanera Center,Departamento,Publicado hace 8 días,2021-07-01,"Avenida Providencia 2400 - 2700, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",750.000,,"0,22 UF/m²","0,23 UF/m²",115 m²,108 m²,3,3,,,,,,,,
481,Departamento Antiguo Amplio,Departamento,Publicado hace 8 días,2021-07-01,"Suecia 1650, Providencia, RM (Metropolitana)",24,713.107,"0,17 UF/m²","0,24 UF/m²",144 m²,130 m²,3,2,1,150000 CLP,,,,,,
