,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Antigüedad,Bodegas,Orientación
1000,Impecable Departamento De 1d/1b Y Amplia Terraza.,Departamento,Publicado hace 6 días,2021-07-01,"Chiloé 3601, El Llano, San Miguel, RM (Metropolitana)",275.000,,"0,22 UF/m²","0,27 UF/m²",42 m²,40 m²,1,1,,,,,,,,
1001,San Diego/ Carlos Silva/2d-2b,Departamento,Publicado hace 6 días,2021-07-01,"Carlos Silva Vildósola 900 - 1200, El Llano, San Miguel, RM (Metropolitana)",410.000,,"0,23 UF/m²","0,23 UF/m²",59 m²,55 m²,2,2,1,,,,,,,
1002,Departamental / Walker Martínez,Departamento,Publicado hace 6 días,2021-07-01,"Avenida Departamental 900 - 1200, Ciudad del Niño, San Miguel, RM (Metropolitana)",290.000,,"0,23 UF/m²","0,26 UF/m²",42 m²,40 m²,2,1,,,,,,,,
1003,Gran Depto 3d2b Estac./ Bodega Metro Lo Vial,Departamento,Publicado hace 5 días,2021-07-01,"San Nicolás 1372, Lo Vial, San Miguel, RM (Metropolitana)",420.000,,"0,23 UF/m²","0,21 UF/m²",62 m²,60 m²,3,2,1,,,,,,,
1004,Tercera Avda / Impecable / Orientación Norte,Departamento,Publicado hace 5 días,2021-07-01,"Tercera Avenida 1200 - 1500, Ciudad del Niño, San Miguel, RM (Metropolitana)",220.000,,"0,3 UF/m²","0,27 UF/m²",25 m²,25 m²,1,1,,30000 CLP,,,,,,
1005,Alcalde Pedro Alarcón Con San Francisco,Departamento,Publicado hace 4 días,2021-07-01,"Alcalde Pedro Alarcon 600 - 900, El Llano, San Miguel, RM (Metropolitana)",380.000,,"0,22 UF/m²","0,23 UF/m²",57 m²,54 m²,2,2,1,,,,,,,
1006,Metro San Miguel / El Llano / Disponibilidad Inmediata,Departamento,Publicado hace 3 días,2021-07-01,"Alcalde Pedro Alarcón 600 - 900, El Llano, San Miguel, RM (Metropolitana)",370.000,,"0,26 UF/m²","0,27 UF/m²",48 m²,46 m²,2,2,,,,,,,,
1007,Hermoso Departamento / Dos Estacionamientos,Departamento,Publicado hace 3 días,2021-07-01,"Alcalde Pedro Alarcón 600 - 900, El Llano, San Miguel, RM (Metropolitana)",530.000,,"0,22 UF/m²","0,21 UF/m²",82 m²,71 m²,3,2,2,,,,,,,
1008,Metro Ciudad Del Niño - Octava Avenida,Departamento,Publicado hace 2 días,2021-07-01,"Octava Avenida 1330 - Departamento 708, Ciudad del Niño, San Miguel, RM (Metropolitana)",375.000,,"0,23 UF/m²","0,26 UF/m²",56 m²,50 m²,2,1,1,,,,,,,
1009,Quinta Avenida ,Departamento,Publicado hace 2 días,2021-07-01,"Quinta Avenida 1200 - 1500, Ciudad del Niño, San Miguel, RM (Metropolitana)",260.000,,"0,27 UF/m²","0,27 UF/m²",32 m²,29 m²,1,1,,,,,,,,
1010,Arrienda Dpto. En Metro Ciudad Del Niño ,Departamento,Publicado hace 2 días,2021-07-01,"Gran Avenida Jose Miguel Carrera 5700 - 6000, Ciudad del Niño, San Miguel, RM (Metropolitana)",350.000,,"0,25 UF/m²","0,27 UF/m²",46.5 m²,45 m²,2,2,1,75000 CLP,,,,,,
1011,Lindo Departamento 2 Dormitorios San Miguel.,Departamento,Publicado hace 2 días,2021-07-01,"Chiloé 4901, Lo Vial, San Miguel, RM (Metropolitana)",360.000,,"0,24 UF/m²","0,26 UF/m²",50 m²,50 m²,2,1,1,,,,,,,
1012,"Propiedad: 150, 3d+2b+est+bod (150), San Miguel",Departamento,Publicado hace 1 día,2021-07-01,"Vargas Buston 976 - Departamento 1200 - 1500, San Miguel, RM (Metropolitana)",440.000,,"0,21 UF/m²","0,21 UF/m²",70 m²,65 m²,3,2,1,,,,,,,
1013,San Francisco / María Auxiliadora,Departamento,Publicado hace 1 día,2021-07-01,"María Auxiliadora 600 - 900, El Llano, San Miguel, RM (Metropolitana)",350.000,,"0,33 UF/m²","0,27 UF/m²",36 m²,34 m²,1,1,1,40000 CLP,,,,,,
1014,Metro Lo Ovalle-  Un Dormitorio,Departamento,Publicado hace 1 día,2021-07-01,"Gran Avenida Jose Miguel Carrera 6000 - 6300, San Miguel, RM (Metropolitana)",260.000,,"0,19 UF/m²","0,27 UF/m²",45 m²,45 m²,1,1,,,,,,,,
1015,Departamento En Arriendo San Miguel,Departamento,Publicado hace 1 día,2021-07-01,"Séptima Avenida 1355 - Departamento 900 - 1200, San Miguel, RM (Metropolitana)",500.000,,"0,24 UF/m²","0,21 UF/m²",69 m²,69 m²,3,2,1,73000 CLP,,,,,,
1016,Metro El Llano,Departamento,Publicado hace 1 día,2021-07-01,"José Joaquín Vallejos 1200 - 1500, El Llano, San Miguel, RM (Metropolitana)",450.000,,"0,24 UF/m²","0,21 UF/m²",64 m²,58 m²,2,2,1,,,,,,,
1017,Se Arrienda Depto.2 D.1 B Comuna San Ramón,Departamento,Publicado hace 23 días,2021-07-01,"Ismael Tocornal 9121, Metro San Ramón, San Ramón, RM (Metropolitana)",300.000,,,,47 m²,47 m²,2,1,1,5000 CLP,,,,,,
1018,Compañía De Jesús 00 - Departamento 00,Departamento,Publicado hace 1 año,2021-07-01,"Compañía De Jesús 00 - Departamento 00, Barrio Yungay, Santiago, RM (Metropolitana)",295.000,,"0,11 UF/m²",,91 m²,40 m²,1,1,,,,,,,,
1019,Catedral 1310,Departamento,Publicado hace 1 año,2021-07-01,"Catedral 1310, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",530.000,,"0,35 UF/m²","0,72 UF/m²",51 m²,47 m²,1,1,,,,,,,,
1020,San Isidro / Santa Isabel,Departamento,Publicado hace 2 años,2021-07-01,"San Isidro / Santa Isabel, Santa Isabel, Santiago, RM (Metropolitana)",270.000,,"0,3 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,,,,,,,,
1021,Arriendo Depto Por Dias Santiago Centro ,Departamento,Publicado hace 1 año,2021-07-01,"Moneda 1500 - 1800, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",39.000,,"0,03 UF/m²","0,72 UF/m²",50 m²,45 m²,1,1,,,,,,,,
1022,Catedral 1885,Departamento,Publicado hace 2 años,2021-07-01,"Catedral 1885, Barrio Brasil, Santiago, RM (Metropolitana)",250.000,,"0,38 UF/m²","0,72 UF/m²",22 m²,22 m²,1,1,,35000 CLP,,,,,,
1023,Excelente Ubicación!!! Metro Moneda!! ,Departamento,Publicado hace 1 año,2021-07-01,"Nueva San Martín 1490, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",350.000,,"0,29 UF/m²","0,72 UF/m²",40 m²,40 m²,1,1,,52000 CLP,,,,,,
1024,Huerfano 1721,Departamento,Publicado hace 1 año,2021-07-01,"Huerfano 1721, Franklin - Biobío, Santiago, RM (Metropolitana)",590,17.530.550,"0,3 UF/m²",,2000 m²,2000 m²,1,1,,,,,,,,
1025,"Tucapel Jiménez 1 - 300, Impecable, Disponibilidad",Departamento,Publicado hace 10 meses,2021-07-01,"Tucapel Jiménez 1 - 300, Impecable, Disponibilidad Inmediata, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",12,356.554,"0,35 UF/m²","0,72 UF/m²",34 m²,32 m²,1,1,,,,,,,,
1026,Estación De Metro Santa Ana,Departamento,Publicado hace 2 años,2021-07-01,"Estación De Metro Santa Ana, Barrio Brasil, Santiago, RM (Metropolitana)",290.000,,"0,26 UF/m²","0,72 UF/m²",37 m²,37 m²,1,1,,,,,,,,
1027,Arriendo Departamento Ejecutivo Por Dias ,Departamento,Publicado hace 1 año,2021-07-01,"Moneda 1617, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",35.000,,"0,04 UF/m²","0,72 UF/m²",31 m²,28 m²,1,1,,,,,,,,
1028,Arriendo Depto Por Dias Santiago Centro ,Departamento,Publicado hace 1 año,2021-07-01,"Moneda 1617, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",36.900,,"0,03 UF/m²","0,72 UF/m²",48 m²,45 m²,1,1,,,,,,,,
1029,Santo Domingo 755 - Departamento 2517,Departamento,Publicado hace 1 año,2021-07-01,"Santo Domingo 755 - Departamento 2517, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",320.000,,"0,21 UF/m²","0,72 UF/m²",51 m²,45 m²,1,1,,,,,,,,
1030,Sazie / Av. España,Departamento,Publicado hace 10 meses,2021-07-01,"Sazie / Av. España, Barrio República, Santiago, RM (Metropolitana)",350.000,,"0,2 UF/m²","0,26 UF/m²",60 m²,50 m²,2,2,,,,,,,,
1031,Metro Bellas Artes,Departamento,Publicado hace 1 año,2021-07-01,"Metro Bellas Artes, Barrio Lastarria, Santiago, RM (Metropolitana)",1.200.000,,"0,24 UF/m²",,170 m²,170 m²,2,2,,,,,,,,
1032,Manuel Rodriguez / Agustinas,Departamento,Publicado hace 1 año,2021-07-01,"Manuel Rodriguez / Agustinas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",280.000,,"0,26 UF/m²","0,72 UF/m²",36.5 m²,34 m²,1,1,,,,,,,,
1033,Tarapacá / San Francisco (amoblado),Departamento,Publicado hace 1 año,2021-07-01,"Tarapacá / San Francisco (amoblado), Bulnes, Santiago, RM (Metropolitana)",350.000,,"0,34 UF/m²","0,72 UF/m²",35 m²,35 m²,1,1,,,,,,,,
1034,Metro Santa Ana / Catedral,Departamento,Publicado hace 1 año,2021-07-01,"Metro Santa Ana / Catedral, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",400.000,,"0,24 UF/m²","0,22 UF/m²",57 m²,57 m²,2,1,,,,,,,,
1035,Metro Santa Lucia / San Isidro,Departamento,Publicado hace 1 año,2021-07-01,"Metro Santa Lucia / San Isidro, Santa Isabel, Santiago, RM (Metropolitana)",390.000,,"0,29 UF/m²","0,72 UF/m²",45 m²,45 m²,1,1,,,,,,,,
1036,Ismael Valdés Vergara Frente Museo Bellas Artes,Departamento,Publicado hace 2 años,2021-07-01,"Ismael Valdés Vergara Frente Museo Bellas Artes, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",350.000,,"0,54 UF/m²","0,72 UF/m²",22 m²,22 m²,1,1,,,,,,,,
1037,Tarapacá / Serrano,Departamento,Publicado hace 2 años,2021-07-01,"Tarapacá / Serrano, Bulnes, Santiago, RM (Metropolitana)",380.000,,"0,26 UF/m²","0,26 UF/m²",50 m²,48 m²,2,2,,,,,,,,
1038,Catedral 1837 - Departamento 516-b,Departamento,Publicado hace 2 años,2021-07-01,"Catedral 1837 - Departamento 516-b, Barrio Brasil, Santiago, RM (Metropolitana)",260.000,,"0,22 UF/m²","0,72 UF/m²",40 m²,38 m²,1,1,,,,,,,,
1039,Catedral 1310,Departamento,Publicado hace 1 año,2021-07-01,"Catedral 1310, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",460.000,,"0,31 UF/m²","0,72 UF/m²",50 m²,47 m²,1,1,,,,,,,,
1040,Portugal 990,Departamento,Publicado hace 3 meses,2021-07-01,"Portugal 990, Franklin - Biobío, Santiago, RM (Metropolitana)",280.000,,"0,21 UF/m²","0,72 UF/m²",45 m²,45 m²,1,1,,,,,,,,
1041,Ismael Valdés Vergara 0,Departamento,Publicado hace 1 año,2021-07-01,"Ismael Valdés Vergara 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",630.000,,"0,44 UF/m²","0,26 UF/m²",48 m²,48 m²,2,2,,,,,,,,
1042,Ismael Valdés Vergara 0,Departamento,Publicado hace 1 año,2021-07-01,"Ismael Valdés Vergara 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",650.000,,"0,32 UF/m²","0,21 UF/m²",69 m²,69 m²,2,2,,,,,,,,
1043,Ismael Valdés Vergara 0,Departamento,Publicado hace 1 año,2021-07-01,"Ismael Valdés Vergara 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",450.000,,"0,46 UF/m²","0,72 UF/m²",33 m²,33 m²,1,1,,,,,,,,
1044,Ismael Valdés Vergara 0,Departamento,Publicado hace 1 año,2021-07-01,"Ismael Valdés Vergara 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",535.000,,"0,4 UF/m²","0,72 UF/m²",45 m²,45 m²,1,1,,,,,,,,
1045,Tarapacá 876,Departamento,Publicado hace 9 meses,2021-07-01,"Tarapacá 876, Bulnes, Santiago, RM (Metropolitana)",8,264.444,"0,28 UF/m²","0,72 UF/m²",32 m²,30 m²,1,1,,,,,,,,
1046,Fray Camilo Henríquez 416,Departamento,Publicado hace 1 año,2021-07-01,"Fray Camilo Henríquez 416, Santa Isabel, Santiago, RM (Metropolitana)",200.000,,"0,52 UF/m²",,13 m²,13 m²,10,2,,,,,,,,
1047,Metro Monjitas,Departamento,Publicado hace 1 año,2021-07-01,"Metro Monjitas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",605.000,,"0,35 UF/m²","0,84 UF/m²",59 m²,59 m²,2,2,,,,,,,,
1048,Metro Monjitas,Departamento,Publicado hace 1 año,2021-07-01,"Metro Monjitas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",650.000,,"0,33 UF/m²","0,21 UF/m²",66.19 m²,66.19 m²,2,2,,,,,,,,
1049,Ismael Valdés Vergara 0,Departamento,Publicado hace 1 año,2021-07-01,"Ismael Valdés Vergara 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",615.000,,"0,38 UF/m²","0,84 UF/m²",54 m²,54 m²,2,2,,,,,,,,
1050,Ismael Valdés Vergara 0,Departamento,Publicado hace 1 año,2021-07-01,"Ismael Valdés Vergara 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",440.000,,"0,35 UF/m²","0,72 UF/m²",42 m²,42 m²,1,1,,,,,,,,
1051,Bulnes / Metro Cumming,Departamento,Publicado hace 1 año,2021-07-01,"Bulnes / Metro Cumming, Barrio Yungay, Santiago, RM (Metropolitana)",280.000,,"0,29 UF/m²","0,72 UF/m²",32 m²,32 m²,1,1,,,,,,,,
1052,Santa Rosa 146,Departamento,Publicado hace 1 año,2021-07-01,"Santa Rosa 146, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,37 UF/m²","0,72 UF/m²",32 m²,30 m²,1,1,,,,,,,,
1053,Santa Victoria / Raulí,Departamento,Publicado hace 1 año,2021-07-01,"Santa Victoria / Raulí, Santa Isabel, Santiago, RM (Metropolitana)",330.000,,"0,28 UF/m²","0,72 UF/m²",40 m²,40 m²,1,1,,,,,,,,
1054,San Pablo / Teatinos,Departamento,Publicado hace 1 año,2021-07-01,"San Pablo / Teatinos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",450.000,,"0,21 UF/m²","0,21 UF/m²",73 m²,65 m²,2,2,,,,,,,,
1055,San Pablo / Teatinos,Departamento,Publicado hace 1 año,2021-07-01,"San Pablo / Teatinos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",450.000,,"0,2 UF/m²","0,21 UF/m²",75 m²,65 m²,2,2,,,,,,,,
1056,Eleuterio Ramirez / San Francisco,Departamento,Publicado hace 1 año,2021-07-01,"Eleuterio Ramirez / San Francisco, Bulnes, Santiago, RM (Metropolitana)",580.000,,"0,41 UF/m²","0,26 UF/m²",48 m²,45 m²,2,2,,,,,,,,
1057,Santo Domingo 760 - Departamento 193,Departamento,Publicado hace 1 año,2021-07-01,"Santo Domingo 760 - Departamento 193, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",270.000,,"0,26 UF/m²","0,72 UF/m²",35 m²,35 m²,1,1,,,,,,,,
1058,San Isidro / Curicó,Departamento,Publicado hace 1 año,2021-07-01,"San Isidro / Curicó, Santa Isabel, Santiago, RM (Metropolitana)",270.000,,"0,32 UF/m²","0,72 UF/m²",28 m²,28 m²,1,1,,,,,,,,
1059,"Alonso Ovalle Con Serrano, A Pasos De Metro U De Chile",Departamento,Publicado hace 1 año,2021-07-01,"Alonso Ovalle Con Serrano, A Pasos De Metro U De Chile, Franklin - Biobío, Santiago, RM (Metropolitana)",480.000,,"0,38 UF/m²","0,72 UF/m²",42 m²,42 m²,1,1,,,,,,,,
1060,(adm)avenida Santa Rosa 202 - Departamento 1705,Departamento,Publicado hace 1 año,2021-07-01,"(adm)avenida Santa Rosa 202 - Departamento 1705, Santa Isabel, Santiago, RM (Metropolitana)",430.000,,"0,28 UF/m²","0,26 UF/m²",52 m²,49 m²,2,2,,,,,,,,
1061,Metro Ñuble / Santa Elena,Departamento,Publicado hace 1 año,2021-07-01,"Metro Ñuble / Santa Elena, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",350.000,,"0,36 UF/m²","0,72 UF/m²",33 m²,33 m²,1,1,,,,,,,,
1062,Huerfanos / Amunategui,Departamento,Publicado hace 1 año,2021-07-01,"Huerfanos / Amunategui, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",220.000,,"0,31 UF/m²","0,72 UF/m²",24 m²,24 m²,1,1,,,,,,,,
1063,General Mackenna 1490 - Departamento 1405,Departamento,Publicado hace 1 año,2021-07-01,"General Mackenna 1490 - Departamento 1405, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",260.000,,"0,29 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,,,,,,,,
1064,Departamento Remodelado Frente Parque Forestal,Departamento,Publicado hace 1 año,2021-07-01,"Departamento Remodelado Frente Parque Forestal, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",520.000,,"0,4 UF/m²","0,72 UF/m²",44 m²,44 m²,1,1,1,65000 CLP,,,,,,
1065,"Santiago Centro, Lira  Santa Isabel, Departamento",Departamento,Publicado hace 10 meses,2021-07-01,"Santiago Centro, Lira – Santa Isabel, Departamento Amoblado Un Dormitorio, Un Baño, Se Arrienda, Santa Isabel, Santiago, RM (Metropolitana)",300.000,,"0,18 UF/m²","0,72 UF/m²",56 m²,28 m²,1,1,,,,,,,,
1066,Depto 2 Dorm / Metro Udechile Y Santa Lucia,Departamento,Publicado hace 1 año,2021-07-01,"Depto 2 Dorm / Metro Udechile Y Santa Lucia, Bulnes, Santiago, RM (Metropolitana)",390.000,,"0,27 UF/m²","0,26 UF/m²",48 m²,42 m²,2,2,,,,,,,,
1067,Depto 2 Dorm / San Diego / Metro Udechile Y Santa Lucia,Departamento,Publicado hace 1 año,2021-07-01,"Depto 2 Dorm / San Diego / Metro Udechile Y Santa Lucia, Bulnes, Santiago, RM (Metropolitana)",390.000,,"0,27 UF/m²","0,26 UF/m²",48 m²,42 m²,2,2,,,,,,,,
1068,Departamento Remodelado Frente Parque Forestal,Departamento,Publicado hace 1 año,2021-07-01,"Departamento Remodelado Frente Parque Forestal, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",560.000,,"0,39 UF/m²","0,26 UF/m²",48 m²,48 m²,2,2,1,70000 CLP,,,,,,
1069,Santo Domingo 755 - Departamento 1204,Departamento,Publicado hace 1 año,2021-07-01,"Santo Domingo 755 - Departamento 1204, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",245.000,,"0,36 UF/m²","0,72 UF/m²",23 m²,23 m²,1,1,,,,,,,,
1070,Metro Cal Y Canto / General Mackenna 1200 - 1500.,Departamento,Publicado hace 1 año,2021-07-01,"Metro Cal Y Canto / General Mackenna 1200 - 1500., Centro Histórico de Santiago, Santiago, RM (Metropolitana)",400.000,,"0,17 UF/m²","0,21 UF/m²",80 m²,80 m²,2,2,,,,,,,,
1071,San Pablo 1353 - Departamento 1315,Departamento,Publicado hace 1 año,2021-07-01,"San Pablo 1353 - Departamento 1315, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",320.000,,"0,31 UF/m²","0,72 UF/m²",35 m²,35 m²,1,1,,,,,,,,
1072,Agustinas Con Manuel Rodriguez Nte. Metro Santa Ana.,Departamento,Publicado hace 1 año,2021-07-01,"Agustinas Con Manuel Rodriguez Nte. Metro Santa Ana., Centro Histórico de Santiago, Santiago, RM (Metropolitana)",410.000,,"0,23 UF/m²","0,84 UF/m²",60 m²,60 m²,2,2,,,,,,,,
1073,Curico / Lira,Departamento,Publicado hace 1 año,2021-07-01,"Curico / Lira, Santa Isabel, Santiago, RM (Metropolitana)",500.000,,"0,53 UF/m²","0,72 UF/m²",32 m²,30 m²,1,1,,,,,,,,
1074,Padre Alonso De Ovalle / Serrano,Departamento,Publicado hace 1 año,2021-07-01,"Padre Alonso De Ovalle / Serrano, Bulnes, Santiago, RM (Metropolitana)",350.000,,"0,42 UF/m²","0,72 UF/m²",28 m²,28 m²,1,1,,,,,,,,
1075,Huérfanos 786 - Departamento 806,Departamento,Publicado hace 1 año,2021-07-01,"Huérfanos 786 - Departamento 806, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",8,262.958,"0,22 UF/m²","0,72 UF/m²",40 m²,40 m²,1,1,,,,,,,,
1076,Departamento Piso 8 ,Departamento,Publicado hace 1 año,2021-07-01,"Avenida Portugal 415, Santa Isabel, Santiago, RM (Metropolitana)",330.000,,"0,25 UF/m²","0,26 UF/m²",45 m²,45 m²,2,2,,,,,,,,
1077,General Mackenna 1555 - Departamento 1608,Departamento,Publicado hace 1 año,2021-07-01,"General Mackenna 1555 - Departamento 1608, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",450.000,,"0,28 UF/m²","0,84 UF/m²",54 m²,51 m²,2,2,,,,,,,,
1078,Santa Isabel 502 - Departamento 802,Departamento,Publicado hace 1 año,2021-07-01,"Santa Isabel 502 - Departamento 802, Santa Isabel, Santiago, RM (Metropolitana)",340.000,,"0,19 UF/m²","0,84 UF/m²",60 m²,60 m²,2,2,,,,,,,,
1079,Lord Cocharane / Eyzaquirre,Departamento,Publicado hace 1 año,2021-07-01,"Lord Cocharane / Eyzaquirre, Franklin - Biobío, Santiago, RM (Metropolitana)",490.000,,"0,23 UF/m²","0,21 UF/m²",72 m²,60 m²,2,2,,,,,,,,
1080,"1 Mes De Gracia - Sin Comisión, Monjitas / Metro Bellas ...",Departamento,Publicado hace 1 año,2021-07-01,"1 Mes De Gracia - Sin Comisión, Monjitas / Metro Bellas Artes, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",260.000,,"0,23 UF/m²","0,72 UF/m²",38 m²,38 m²,1,1,,,,,,,,
1081,Aníbal Pinto 1270,Departamento,Publicado hace 1 año,2021-07-01,"Aníbal Pinto 1270, Metro Cal y Canto, Independencia, RM (Metropolitana)",240.000,,"0,19 UF/m²","0,24 UF/m²",42 m²,42 m²,2,1,,,,,,,,
1082,San Francisco 296 - Departamento 1304,Departamento,Publicado hace 1 año,2021-07-01,"San Francisco 296 - Departamento 1304, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",240.000,,"0,27 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,,,,,,,,
1083,Aníbal Pinto 1270,Departamento,Publicado hace 1 año,2021-07-01,"Aníbal Pinto 1270, Metro Cal y Canto, Independencia, RM (Metropolitana)",200.000,,"0,22 UF/m²",4 UF/m²,30 m²,30 m²,1,1,,,,,,,,
1084,Cercado A Estación Plaza De Armas,Departamento,Publicado hace 9 meses,2021-07-01,"Cercado A Estación Plaza De Armas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",50 m²,50 m²,2,2,,,,,,,,
1085,Catedral 1289,Departamento,Publicado hace 1 año,2021-07-01,"Catedral 1289, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",240.000,,"0,4 UF/m²","0,72 UF/m²",20 m²,20 m²,1,1,,,,,,,,
1086,San Martín 870,Departamento,Publicado hace 1 año,2021-07-01,"San Martín 870, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",200.000,,"0,23 UF/m²","0,72 UF/m²",29 m²,29 m²,1,1,,,,,,,,
1087,Padre Luis De Valdivia 378 - Departamento 5,Departamento,Publicado hace 1 año,2021-07-01,"Padre Luis De Valdivia 378 - Departamento 5, Barrio Lastarria, Santiago, RM (Metropolitana)",1.000.000,,"0,34 UF/m²","0,21 UF/m²",100 m²,100 m²,3,2,,,,,,,,
1088,Argomedo 65,Departamento,Publicado hace 1 año,2021-07-01,"Argomedo 65, Santa Isabel, Santiago, RM (Metropolitana)",270.000,,"0,36 UF/m²","0,72 UF/m²",25 m²,25 m²,1,1,,,,,,,,
1089,Avenida Manuel Rodriguez Norte 694,Departamento,Publicado hace 1 año,2021-07-01,"Avenida Manuel Rodriguez Norte 694, Barrio Brasil, Santiago, RM (Metropolitana)",300.000,,"0,34 UF/m²","0,72 UF/m²",30 m²,20 m²,1,1,,,,,,,,
1090,Lord Cochrane 136,Departamento,Publicado hace 9 meses,2021-07-01,"Lord Cochrane 136, Bulnes, Santiago, RM (Metropolitana)",355.000,,"0,21 UF/m²","0,22 UF/m²",56 m²,52 m²,2,1,,,,,,,,
1091,General Jofré 70,Departamento,Publicado hace 1 año,2021-07-01,"General Jofré 70, Santa Isabel, Santiago, RM (Metropolitana)",400.000,,"0,3 UF/m²","0,26 UF/m²",45 m²,40 m²,2,2,1,90000 CLP,,,,,,
1092,Huérfanos 1400 - Departamento 1001,Departamento,Publicado hace 1 año,2021-07-01,"Huérfanos 1400 - Departamento 1001, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",580.000,,"0,24 UF/m²","0,21 UF/m²",80 m²,76 m²,3,2,,,,,,,,
1093,Plaza De Armas S / N,Departamento,Publicado hace 1 año,2021-07-01,"Plaza De Armas S / N, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",350.000,,"0,25 UF/m²","0,72 UF/m²",47 m²,47 m²,1,1,,,,,,,,
1094,Santa Rosa / Santa Ana,Departamento,Publicado hace 1 año,2021-07-01,"Santa Rosa / Santa Ana, Parque Brasil, La Granja, RM (Metropolitana)",450.000,,"0,3 UF/m²",,50 m²,50 m²,3,1,,,,,,,,
1095,Santo Domingo 1220,Departamento,Publicado hace 1 año,2021-07-01,"Santo Domingo 1220, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",380.000,,"0,26 UF/m²","0,26 UF/m²",50 m²,45 m²,2,2,,,,,,,,
1096,Genaral Mackenna 1606,Departamento,Publicado hace 1 año,2021-07-01,"Genaral Mackenna 1606, Franklin - Biobío, Santiago, RM (Metropolitana)",430.000,,"0,33 UF/m²","0,26 UF/m²",44 m²,42 m²,2,1,,,,,,,,
1097,Metro Cal Y Canto,Departamento,Publicado hace 1 año,2021-07-01,"Metro Cal Y Canto, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",480.000,,"0,19 UF/m²","0,21 UF/m²",86 m²,80 m²,2,2,,,,,,,,
1098,Vicuña Mackenna 3756 - Departamento 00,Departamento,Publicado hace 1 año,2021-07-01,"Vicuña Mackenna 3756 - Departamento 00, Metro Carlos Valdovinos, Macul, RM (Metropolitana)",300.000,,"0,23 UF/m²","0,25 UF/m²",43 m²,40 m²,1,1,,,,,,,,
1099,Fray Camilo Henríquez 440,Departamento,Publicado hace 1 año,2021-07-01,"Fray Camilo Henríquez 440, Santa Isabel, Santiago, RM (Metropolitana)",200.000,,"0,31 UF/m²","0,72 UF/m²",22 m²,22 m²,1,1,,,,,,,,
1100,Ismael Valdes Vergara 746 - Departamento 2c,Departamento,Publicado hace 1 año,2021-07-01,"Ismael Valdes Vergara 746 - Departamento 2c, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",11,326.841,"0,31 UF/m²","0,72 UF/m²",35 m²,35 m²,1,1,,45000 CLP,,,,,,
1101,Villavicencio. Barrio Lastarria. Metro Uc,Departamento,Publicado hace 1 año,2021-07-01,"Villavicencio. Barrio Lastarria. Metro Uc, Barrio Lastarria, Santiago, RM (Metropolitana)",390.000,,"0,22 UF/m²","0,72 UF/m²",60 m²,50 m²,1,1,,,,,,,,
