,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Bodegas,Número de piso de la unidad,Departamentos por piso
310,"Fino Departamento Amoblado, Vista Despejada A Club De Golf",Departamento,Publicado hace 15 días,2021-07-01,"Américo Vespucio Norte 600 - 900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.600.000,,"0,33 UF/m²",,165 m²,150 m²,2,4,250000 CLP,1,,,,
311,Nethaus Arrienda Excelente Departamento Remodelado,Departamento,Publicado hace 15 días,2021-07-01,"Avenida Presidente Riesco 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,33 UF/m²","0,33 UF/m²",86 m²,80 m²,2,2,155000 CLP,1,,,,
312,Arriendo Depto. Un Ambiente En Las Condes,Departamento,Publicado hace 15 días,2021-07-01,"Pdte. Errazuriz 4383, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",350.000,,"0,33 UF/m²","0,37 UF/m²",36 m²,36 m²,1,1,,1,,,,
313,Lindo Departamento Plaza Peru,Departamento,Publicado hace 15 días,2021-07-01,"Carmencita 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.100.000,,"0,22 UF/m²","0,23 UF/m²",170 m²,160 m²,3,2,180000 CLP,2,,,,
314,Nuestra Señora Del Rosario,Departamento,Publicado hace 14 días,2021-07-01,"Nuestra Señora Del Rosario 300 - 600, Las Condes, RM (Metropolitana)",780.000,,"0,26 UF/m²","0,29 UF/m²",100 m²,90 m²,3,2,88000 CLP,1,,,,
315,Apoquindo 6445,Departamento,Publicado hace 14 días,2021-07-01,"Apoquindo 6300 - 6600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",13,386.266,"0,31 UF/m²","0,37 UF/m²",42 m²,42 m²,1,1,,,,,,
316,Arriendo Departamento Amoblado La Gloria (3271),Departamento,Publicado hace 14 días,2021-07-01,"La Gloria 30, Metro Escuela Militar, Las Condes, RM (Metropolitana)",420.000,,"0,31 UF/m²","0,37 UF/m²",45 m²,40 m²,1,1,,1,,,,
317,Departamento Amoblado ,Departamento,Publicado hace 14 días,2021-07-01,"Enrique Foster 190, Barrio El Golf, Las Condes, RM (Metropolitana)",37,1.126.115,"0,27 UF/m²","0,27 UF/m²",140 m²,128 m²,3,2,,1,,,,
318,Club De Golf / Entrega Inmediata,Departamento,,2021-07-01,"Club De Golf / Entrega Inmediata, Barrio El Golf, Las Condes, RM (Metropolitana)",89,2.644.439,"0,33 UF/m²","0,26 UF/m²",270 m²,216 m²,3,3,,3,,,,
319,Rosario Norte - Metro Manquehue,Departamento,Publicado hace 14 días,2021-07-01,"Rosario Norte 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",13,390.426,"0,37 UF/m²","0,37 UF/m²",36 m²,34 m²,1,1,60000 CLP,1,,,,
320,Incluye Bodega / Amoblado / Metro El Golf ,Departamento,Publicado hace 14 días,2021-07-01,"Augusto Leguía Sur 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",420.000,,"0,35 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,,,,,
321,Evaristo Lillo- Metro E Militar,Departamento,Publicado hace 14 días,2021-07-01,"Evaristo Lillo 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",14,415.979,"0,35 UF/m²","0,37 UF/m²",40 m²,32 m²,1,1,70000 CLP,1,,,,
322,Departamento En Piso 2 En Arriendo,Departamento,Publicado hace 14 días,2021-07-01,"Carmencita 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",50,1.485.640,"0,17 UF/m²","0,24 UF/m²",300 m²,300 m²,4,4,,2,,,,
323,"Vista Despejada, Dos Suite, Amplia Terraza",Departamento,Publicado hace 14 días,2021-07-01,"Avenida Las Condes 12300 - 12600, Mall Sport, Las Condes, RM (Metropolitana)",690.000,,"0,35 UF/m²","0,33 UF/m²",66 m²,60 m²,2,2,80000 CLP,1,,,,
324,"Impecable, Ideal Pareja O Persona Sola !. ",Departamento,Publicado hace 14 días,2021-07-01,"Avenida Presidente Riesco 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",17,525.917,"0,32 UF/m²","0,37 UF/m²",55 m²,45 m²,1,1,110000 CLP,1,,,,
325,Departamento Flandes,Departamento,Publicado hace 14 días,2021-07-01,"Rodrigo De Triana 4200 - 4500, Vaticano, Las Condes, RM (Metropolitana)",950.000,,"0,23 UF/m²","0,28 UF/m²",140 m²,125 m²,4,3,260000 CLP,2,,,,
326,Se Arrienda Departamento En El Hamlet Metro Alcántara,Departamento,Publicado hace 14 días,2021-07-01,"Hamlet 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",450.000,,"0,29 UF/m²","0,37 UF/m²",52 m²,40 m²,1,1,,1,,,,
327,Cerca Metro Alcántara,Departamento,Publicado hace 14 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,4 UF/m²","0,33 UF/m²",100 m²,90 m²,2,2,,1,,,,
328,"Metro Alcántara, 2 Dormitorios",Departamento,Publicado hace 14 días,2021-07-01,"Alsacia 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,4 UF/m²","0,33 UF/m²",100 m²,90 m²,2,2,150000 CLP,1,,,,
329,Amplio Departamento En El Golf Con Gran Vista Al Club Lo...,Departamento,Publicado hace 14 días,2021-07-01,"Amplio Departamento En El Golf Con Gran Vista Al Club Los Leones, Barrio El Golf, Las Condes, RM (Metropolitana)",3.000.000,,"0,15 UF/m²","0,24 UF/m²",654 m²,307 m²,5,5,650000 CLP,4,,,,
330,Avenida Presidente Riesco 4000,Departamento,Publicado hace 14 días,2021-07-01,"Avenida Presidente Riesco 3900 - 4200, Barrio El Golf, Las Condes, RM (Metropolitana)",1.700.000,,"0,38 UF/m²","0,29 UF/m²",150 m²,150 m²,3,4,,2,,,,
331,"El Golf, Iluminado, Amplio, Cerca De Todo",Departamento,Publicado hace 14 días,2021-07-01,"Avenida Presidente Riesco 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",950.000,,"0,18 UF/m²","0,28 UF/m²",178 m²,140 m²,4,4,,2,,,,
332,Alonso De Cordova Y Vespucio,Departamento,Publicado hace 14 días,2021-07-01,"Cerro La Parva 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",500.000,,"0,22 UF/m²","0,33 UF/m²",75 m²,75 m²,2,2,85000 CLP,,,,,
333,Departamento A Pasos Del Metro Los Dominicos,Departamento,Publicado hace 14 días,2021-07-01,"Paraná 8100 - 8400, Los Dominicos, Las Condes, RM (Metropolitana)",600.000,,"0,34 UF/m²","0,41 UF/m²",60 m²,54 m²,2,2,120000 CLP,1,,,,
334,Full Amoblado ,Departamento,Publicado hace 14 días,2021-07-01,"Martín De Zamora 3000 - 3300, Vaticano, Las Condes, RM (Metropolitana)",1.200.000,,"0,35 UF/m²","0,27 UF/m²",117 m²,107 m²,3,2,,2,,,,
335,Plaza Perú // El Golf,Departamento,Publicado hace 14 días,2021-07-01,"Don Carlos 1800 - 2100, Centro Financiero, Las Condes, RM (Metropolitana)",1.000.000,,"0,2 UF/m²","0,27 UF/m²",165 m²,140 m²,3,2,,2,,,,
336,Departamento Como Nuevo Barrio El Golf,Departamento,Publicado hace 14 días,2021-07-01,"Málaga 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",420.000,,"0,36 UF/m²","0,37 UF/m²",39 m²,39 m²,1,1,,1,,,,
337,Espectacular Penthouse A Pasos Metro Y Servicios.,Departamento,Publicado hace 14 días,2021-07-01,"Cruz Del Sur 300 - 600, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.850.000,,"0,17 UF/m²","0,26 UF/m²",361 m²,131 m²,4,3,,2,,,,
338,Full Amoblado,Departamento,Publicado hace 14 días,2021-07-01,"Martín De Zamora 2100 - 2400, Barrio El Golf, Las Condes, RM (Metropolitana)",1.200.000,,"0,35 UF/m²","0,27 UF/m²",117 m²,117 m²,3,2,,2,,,,
339,Parque Araucano,Departamento,Publicado hace 14 días,2021-07-01,"Avenida Presidente Riesco 5100 - 5400, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.250.000,,"0,26 UF/m²","0,28 UF/m²",162 m²,140 m²,4,4,240000 CLP,2,,,,
340,Departamento Con Vista Despejada Y Excelente Ubicación!! ,Departamento,Publicado hace 14 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",540.000,,"0,36 UF/m²","0,37 UF/m²",50 m²,40 m²,1,1,,1,,,,
341,Cerro San Luis / Exclusivo,Departamento,,2021-07-01,"Cerro San Luis / Exclusivo, Barrio El Golf, Las Condes, RM (Metropolitana)",130,3.862.664,"0,38 UF/m²","0,24 UF/m²",344 m²,294 m²,3,4,800000 CLP,3,,,,
342,Edificio Fundadores / Excelente Estado / El Golf,Departamento,,2021-07-01,"Edificio Fundadores / Excelente Estado / El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",55,1.634.204,"0,39 UF/m²","0,28 UF/m²",140 m²,125 m²,3,3,,2,,,,
343,Espectacular Estado - Club De Golf - Entrega Inmediata,Departamento,,2021-07-01,"Avenida El Golf 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,25 UF/m²","0,26 UF/m²",200 m²,160 m²,4,3,,2,,,,
344,Cerro San Luis / El Golf,Departamento,,2021-07-01,"Cerro San Luis / El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",7.000.000,,"0,36 UF/m²","0,24 UF/m²",650 m²,575 m²,4,5,,4,,,,
345,Plaza Brasilia,Departamento,Publicado hace 13 días,2021-07-01,"Avda. Presidente Kennedy 6373 - Departamento 601, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",1.950.000,,"0,25 UF/m²","0,26 UF/m²",262 m²,202 m²,4,3,,2,,,,
346,Depto Amoblado A Pasos De Metro Escuela Militar,Departamento,Publicado hace 13 días,2021-07-01,"La Castellana Norte 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.250.000,,"0,37 UF/m²","0,27 UF/m²",115 m²,105 m²,3,2,200000 CLP,1,,,,
347,Depto Amoblado Vista Parque Araucano ,Departamento,Publicado hace 13 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.550.000,,"0,46 UF/m²","0,35 UF/m²",113 m²,90 m²,2,2,150000 CLP,1,,,,
348,"Arriendo Departamento 2d+2b Calle Escandinavia, Las Condes",Departamento,Publicado hace 13 días,2021-07-01,"Escandinavia 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",650.000,,"0,3 UF/m²","0,33 UF/m²",74 m²,68 m²,2,2,,1,,,,
349,"Arriendo Departamento 2d+2b Calle Escandinavia, Las Condes",Departamento,Publicado hace 13 días,2021-07-01,"Escandinavia 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",650.000,,"0,3 UF/m²","0,33 UF/m²",74 m²,68 m²,2,2,,1,,,,
