,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Ambientes,Bodegas,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Orientación
3227,Departamento En Arriendo De 2 Dorm. En Las Condes,Departamento,,2021-07-02,"Vaticano / Vespucio, Vaticano, Las Condes, RM (Metropolitana)",538.000,,"0,26 UF/m²","0,33 UF/m²",70 m²,63 m²,2,2,130000 CLP,1,,,,,,,
3228,San Francisco / Tarapaca / Amoblado,Departamento,Publicado hace 41 días,2021-07-02,"San Francisco, Bulnes, Santiago, RM (Metropolitana)",370.000,,"0,22 UF/m²","0,84 UF/m²",56 m²,56 m²,2,2,90000 CLP,,13 años,,,,,,
3229,Departamento En Arriendo De 2 Dorm. En Providencia,Departamento,Publicado hace 41 días,2021-07-02,"Departamento 2 Dormitorios Pedro De Valdivia / Metro Inez Suarez, Inés de Suárez, Providencia, RM (Metropolitana)",600.000,,"0,23 UF/m²","0,28 UF/m²",89 m²,79 m²,2,2,200000 CLP,1,,,,,,,
3230,Departamento En Arriendo De 3 Dorm. En Las Condes,Departamento,Publicado hace 41 días,2021-07-02,"Golf Los Leones, Barrio El Golf, Las Condes, RM (Metropolitana)",4.500.000,,"0,46 UF/m²","0,24 UF/m²",330 m²,330 m²,3,5,1200000 CLP,3,,,,,,,
3231,Excelente Amplio Departamento Recién Renovado,Departamento,Publicado hace 41 días,2021-07-02,"Federico Froebel 1840, Providencia, Chile, Pedro de Valdivia, Providencia, RM (Metropolitana)",550.000,,"0,39 UF/m²","0,34 UF/m²",48 m²,44 m²,1,1,90000 CLP,1,15 años,,1,1,6,19,P
3232,Departamento En Arriendo De 3 Dorm. En Santiago,Departamento,Publicado hace 41 días,2021-07-02,"Santa Isabel / Lira, Santa Isabel, Santiago, RM (Metropolitana)",380.000,,"0,21 UF/m²","0,24 UF/m²",60 m²,60 m²,3,2,65000 CLP,,,,,,,,
3233,Arriendo Departamento En Providencia / Traiguen / Suecia,Departamento,Publicado hace 41 días,2021-07-02,"Traiguen, Pedro de Valdivia, Providencia, RM (Metropolitana)",400.000,,"0,3 UF/m²","0,34 UF/m²",45 m²,45 m²,1,1,100 CLP,1,21 años,,,,,,
3234,Vendo Departamento 1d1b Sin Comisión A Corredora,Departamento,Publicado hace 41 días,2021-07-02,"Jorge Washington, Ñuñoa, Chile, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",3.400,101.023.511,75 UF/m²,"0,31 UF/m²",45 m²,35 m²,1,1,,,,,,,,,N
3235,Arriendo Dpto Excelente Ubicación 14 Vic Mackenna La Florida,Departamento,Publicado hace 41 días,2021-07-02,"Calle Nueva 141, La Florida, Chile, Plaza Vespucio, La Florida, RM (Metropolitana)",340.000,,"0,25 UF/m²",,45 m²,38 m²,2,1,64000 CLP,1,,,1,,,,
3236,Departamento En Arriendo De 1 Dorm. En Las Condes,Departamento,Publicado hace 41 días,2021-07-02,"Av. Las Condes - Cantagallo - San Francisco De Asis, San Damián, Las Condes, RM (Metropolitana)",490.000,,"0,38 UF/m²","0,37 UF/m²",43 m²,37 m²,1,1,60000 CLP,1,,,,,,,
3237,"Departamento 2d+1b, 50 Mts A Pasos De Metro Ecuador",Departamento,Publicado hace 40 días,2021-07-02,"Avenida Ecuador 5065, Santiago, Estación Central, Chile, Estación Central, RM (Metropolitana)",360.000,,"0,24 UF/m²","0,25 UF/m²",50 m²,48 m²,2,1,45000 CLP,,7 años,,,,,,
3238,"Varas Mena 1080, San Miguel, Chile",Departamento,Publicado hace 3 meses,2021-07-02,"Varas Mena 1080, San Miguel, Chile, Ciudad del Niño, San Miguel, RM (Metropolitana)",340.000,,"0,22 UF/m²","0,26 UF/m²",52 m²,50 m²,2,1,45000 CLP,,10 años,,,16,6,18,P
3239,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,,2021-07-02,"San Isidro / Marín, Santa Isabel, Santiago, RM (Metropolitana)",239.000,,"0,21 UF/m²","0,72 UF/m²",38 m²,35 m²,1,1,60000 CLP,,,,,,,,
3240,Las Condes -  Metro Colón - Plaza Las Lilas,Departamento,Publicado hace 40 días,2021-07-02,"Eliodoro Yañez 2586, Providencia, Chile, Las Lilas, Providencia, RM (Metropolitana)",750.000,,"0,28 UF/m²","0,26 UF/m²",90 m²,90 m²,2,1,50000 CLP,,,,1,4,,,O
3241,"Departamento 1d, 1b Como Nuevo. Luces Led",Departamento,Publicado hace 40 días,2021-07-02,"Pablo Urzúa 1481, Independencia, Chile, Plaza Chacabuco, Independencia, RM (Metropolitana)",260.000,,"0,28 UF/m²",4 UF/m²,31 m²,31 m²,1,1,30000 CLP,,3 años,,,16,20,18,
3242,Holanda/ Carlos Antunez,Departamento,Publicado hace 40 días,2021-07-02,"Holanda/ Carlos Antunez, Las Lilas, Providencia, RM (Metropolitana)",750.000,,"0,27 UF/m²","0,25 UF/m²",95 m²,78 m²,3,3,200000 CLP,1,,3,1,,,,SUR PONIENTE
3243,Departamento En Arriendo De 2 Dorm. En Las Condes,Departamento,Publicado hace 40 días,2021-07-02,"Metro Manquehue / Apoquindo, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",600.000,,"0,25 UF/m²","0,33 UF/m²",82 m²,52 m²,2,2,,3,,,,,,,
3244,"Arriendo Departamento 3 Dormitorios, 2 Baños En Providencia",Departamento,Publicado hace 40 días,2021-07-02,"Cano Y Aponte, Providencia, Chile, Salvador, Providencia, RM (Metropolitana)",620.000,,"0,28 UF/m²","0,26 UF/m²",75 m²,72 m²,3,2,160000 CLP,1,,,1,6,6,7,SO
3245,Departamento En Arriendo De 4 Dorm. En Providencia,Departamento,Publicado hace 40 días,2021-07-02,"Tobalaba / Colón, Las Lilas, Providencia, RM (Metropolitana)",1.000.000,,"0,24 UF/m²","0,23 UF/m²",140 m²,120 m²,4,3,,2,,,,,,,
3246,Arriendo Departamento Nuevo A Estrenar ,Departamento,Publicado hace 39 días,2021-07-02,"Av. Italia 2025, Ñuñoa, Chile, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",550.000,,"0,32 UF/m²",,58 m²,58 m²,1,1,45000 CLP,1,0 años,,1,4,,20,
3247,Departamento Recién Pintado,Departamento,Publicado hace 39 días,2021-07-02,"Alcalde Juan Larenas, Quilicura, Chile, Valle Lo Campino, Quilicura, RM (Metropolitana)",350.000,,"0,26 UF/m²",,45 m²,43 m²,3,1,20000 CLP,,10 años,,,4,2,4,SP
3248,"Conde Del Maule 4642, Condominio Barrio Central ",Departamento,,2021-07-02,"Conde Del Maule 4642, Condominio Barrio Central , Conde Del Maule 4642, Metro Ecuador, Estación Central, RM (Metropolitana)",235.000,,"0,4 UF/m²","0,26 UF/m²",20 m²,20 m²,1,1,,,,2,,,,,
3249,"Embajador Quintana 4334, Condominio Embajador Quintana ",Departamento,,2021-07-02,"Embajador Quintana 4334, Condominio Embajador Quintana , Embajador Quintana 4334, San Alberto Hurtado, Estación Central, RM (Metropolitana)",250.000,,"0,34 UF/m²","0,26 UF/m²",24.7 m²,24.7 m²,1,1,,,,2,,,,,
3250,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,Publicado hace 39 días,2021-07-02,"Fray Camilo/marín, Santa Isabel, Santiago, RM (Metropolitana)",235.000,,"0,44 UF/m²","0,72 UF/m²",18 m²,18 m²,1,1,26000 CLP,,,,,,,,
3251,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,Publicado hace 39 días,2021-07-02,"Metro U. De Chile / Tarapaca / Serrano, Bulnes, Santiago, RM (Metropolitana)",288.000,,"0,28 UF/m²","0,72 UF/m²",35 m²,31 m²,1,1,46000 CLP,,,,,,,,
3252,Arriendo Espectacular Depto 1d+1b,Departamento,Publicado hace 39 días,2021-07-02,"Varas Mena 981, San Miguel, Chile, Ciudad del Niño, San Miguel, RM (Metropolitana)",10,297.128,"0,23 UF/m²","0,27 UF/m²",43 m²,35 m²,1,1,40000 CLP,,2 años,,1,15,,,O
3253,Arriendo Amplio Departamento Vista Despejada,Departamento,Publicado hace 39 días,2021-07-02,"Avenida Presidente Kennedy, Vitacura, Chile, Vitacura, RM (Metropolitana)",1.200.000,,"0,3 UF/m²","0,26 UF/m²",134 m²,106 m²,3,3,230000 CLP,2,5 años,,1,7,2,10,SO
3254,Agustinas / Manuel Rodríguez / Metro Santa Ana,Departamento,Publicado hace 39 días,2021-07-02,"Agustinas, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",280.000,,"0,26 UF/m²","0,72 UF/m²",36 m²,36 m²,1,1,43000 CLP,,10 años,,,,,,
3255,"Departamento En Arriendo, Stgo Centro",Departamento,Publicado hace 39 días,2021-07-02,"Lord Cochrane 181, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",260.000,,"0,22 UF/m²","0,72 UF/m²",40 m²,40 m²,1,1,35000 CLP,,5 años,,,12,12,12,
3256,Departamento En Arriendo De 2 Dorm. En Santiago,Departamento,Publicado hace 39 días,2021-07-02,"San Isidro, Santa Isabel, Santiago, RM (Metropolitana)",320.000,,"0,26 UF/m²","0,26 UF/m²",42.2 m²,42.2 m²,2,1,60 CLP,,,,,,,,
3257,Excelente Departamento,Departamento,Publicado hace 39 días,2021-07-02,"Atahualpa 235, La Florida, Chile, Plaza Vespucio, La Florida, RM (Metropolitana)",480.000,,"0,2 UF/m²","0,21 UF/m²",82 m²,84 m²,3,2,68000 CLP,1,15 años,,1,4,5,8,O
3258,Amplio Dpto Barrio El Golf Pdte Riesco/carmencita,Departamento,Publicado hace 39 días,2021-07-02,"Presidente Riesco 2993, Las Condes, Chile, Parque Arauco, Las Condes, RM (Metropolitana)",400.000,,"0,24 UF/m²",,56 m²,56 m²,1,1,97000 CLP,1,,,1,6,5,,
3259,Cerro Colorado  Cerca Colegio Alemán,Departamento,Publicado hace 39 días,2021-07-02,"Cerro Colorado  Cerca Colegio Alemán, Parque Arauco, Las Condes, RM (Metropolitana)",1.700.000,,"0,34 UF/m²","0,28 UF/m²",167 m²,150 m²,3,4,250000 CLP,2,,5,1,,,14,NORTE
3260,"Dpto  1d/1b, Estación Central Ubicación Norte Piso 13",Departamento,Publicado hace 39 días,2021-07-02,"Avenida María Rozas Velásquez 61, Santiago, Estación Central, Chile, Metro Las Rejas, Estación Central, RM (Metropolitana)",220.000,,"0,26 UF/m²","0,26 UF/m²",28.4 m²,28.4 m²,1,1,,,,,,13,,,N
3261,Departamento Amoblado A Pasos De Metro Colón,Departamento,Publicado hace 38 días,2021-07-02,"Las Lilas, Providencia, RM (Metropolitana)",500.000,,"0,32 UF/m²","0,34 UF/m²",52 m²,45 m²,1,1,100000 CLP,1,,2,,,,14,S
3262,Departamento En Arriendo De 3 Dorm. En Providencia,Departamento,Publicado hace 38 días,2021-07-02,"Plaza Las Lilas, Las Lilas, Providencia, RM (Metropolitana)",1.600.000,,"0,45 UF/m²",,120 m²,100 m²,3,3,,2,,,,,,,
3263,Departamento En Arriendo De 2 Dorm. En Ñuñoa,Departamento,Publicado hace 38 días,2021-07-02,"Exequiel Fernandez, Estadio Nacional, Ñuñoa, RM (Metropolitana)",550.000,,"0,29 UF/m²","0,25 UF/m²",64 m²,57 m²,2,2,115000 CLP,,,,,,,,
3264,Departamento En Arriendo De 1 Dorm. En Estación Central,Departamento,Publicado hace 38 días,2021-07-02,"Disponibilidad Inmediata, 1d 1b Metro San Alberto Hurtado., San Alberto Hurtado, Estación Central, RM (Metropolitana)",250.000,,"0,25 UF/m²","0,26 UF/m²",34 m²,34 m²,1,1,,,,,,,,,
3265,Departamento En Arriendo De 2 Dorm. En Las Condes,Departamento,Publicado hace 38 días,2021-07-02,"Parque Araucano, Parque Arauco, Las Condes, RM (Metropolitana)",1.650.000,,"0,49 UF/m²","0,35 UF/m²",113 m²,90 m²,2,2,,2,,,,,,,
3266,Departamento En Arriendo De 3 Dorm. En Vitacura,Departamento,Publicado hace 38 días,2021-07-02,"Americo Vespucio Norte, Parque Bicentenario, Vitacura, RM (Metropolitana)",1.500.000,,"0,31 UF/m²",,161 m²,138 m²,3,3,350000 CLP,,,,,,,,
3267,Arriendo Departamento En Independencia Cercaq Del Metro,Departamento,Publicado hace 38 días,2021-07-02,"Leonor Cepeda 952, Independencia, Chile, Hospitales, Independencia, RM (Metropolitana)",360.000,,"0,17 UF/m²",,70 m²,50 m²,2,1,45000 CLP,,4 años,,,1,8,15,N
3268,Departamento En Venta Mall Casa Costanera / Colegio Las Ursu,Departamento,,2021-07-02,"Mall Casa Costanera / Colegio Las Ursulinas, Parque Bicentenario, Vitacura, RM (Metropolitana)",14.700,436.778.120,91 UF/m²,"0,26 UF/m²",160 m²,140 m²,3,3,,2,,,,,,,
3269,Departamento Studio Estación Central,Departamento,Publicado hace 38 días,2021-07-02,"Embajador Quintana 4334, Santiago, Estación Central, Chile, San Alberto Hurtado, Estación Central, RM (Metropolitana)",8,258.501,"0,43 UF/m²","0,26 UF/m²",20 m²,20 m²,1,1,28000 CLP,,,,,,,,N
3270,Lord Cochrane Con Eleuterio Ramirez,Departamento,Publicado hace 38 días,2021-07-02,"Lord Cochrane Con Eleuterio Ramirez, Bulnes, Santiago, RM (Metropolitana)",320.000,,"0,22 UF/m²","0,26 UF/m²",48 m²,45 m²,2,1,60000 CLP,,,3,,,,,PONIENTE
3271,Departamento En Arriendo De 2 Dorm. En La Florida,Departamento,Publicado hace 38 días,2021-07-02,"Tobalaba Palena, Sector Santa Irene, La Florida Alto, La Florida, RM (Metropolitana)",450.000,,"0,24 UF/m²","0,22 UF/m²",63.45 m²,58.43 m²,2,2,60000 CLP,1,,,,,,,
3272,Depto 2 Hab + 2 Baños + Estac Ñuñoa,Departamento,Publicado hace 38 días,2021-07-02,"Depto 2 Hab + 2 Baños + Estac Ñuñoa, Parque Botánico, Ñuñoa, RM (Metropolitana)",460.000,,"0,21 UF/m²","0,25 UF/m²",75 m²,68 m²,2,2,110000 CLP,1,,2,,,,,
3273,Departamento En Arriendo De 3 Dorm. En Vitacura,Departamento,Publicado hace 38 días,2021-07-02,"Tabancura, Tabancura, Vitacura, RM (Metropolitana)",1.250.000,,"0,26 UF/m²",,164 m²,154 m²,3,4,270000 CLP,2,,,,,,,
3274,Departamento De 1 Dormitorio  Baño A Estrenar ,Departamento,Publicado hace 38 días,2021-07-02,"Coronel Souper 4250, Santiago, Estación Central, Chile, San Alberto Hurtado, Estación Central, RM (Metropolitana)",270.000,,0 UF/m²,,37172 m²,35742 m²,1,1,52200 CLP,,0 años,,,20,8,,
3275,La Moneda Piso Parquet,Departamento,Publicado hace 38 días,2021-07-02,"La Moneda Piso Parquet, Bulnes, Santiago, RM (Metropolitana)",330.000,,"0,25 UF/m²","0,26 UF/m²",45 m²,45 m²,2,1,20000 CLP,,,2,,,,,NORTE
3276,Departamento En Arriendo De 1 Dorm. En Las Condes,Departamento,Publicado hace 38 días,2021-07-02,"Sector Frente A Escuela Militar, Metro Escuela Militar, Las Condes, RM (Metropolitana)",465.000,,"0,29 UF/m²","0,37 UF/m²",54 m²,48 m²,1,1,90000 CLP,1,,,,,,,
3277,Departamento En Arriendo De 1 Dorm. En Las Condes,Departamento,Publicado hace 38 días,2021-07-02,"Frente A La Escuela Militar, Metro Escuela Militar, Las Condes, RM (Metropolitana)",15,466.194,"0,29 UF/m²","0,37 UF/m²",54 m²,48 m²,1,1,90000 CLP,1,,,,,,,
3278,Dpto Santa Isabel 361,Departamento,Publicado hace 38 días,2021-07-02,"Santa Isabel 361, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",380.000,,"0,24 UF/m²","0,26 UF/m²",53 m²,50 m²,2,2,60000 CLP,1,15 años,,,,,10,N
3279,Departamentos En Arriendo - Estación Central,Departamento,Publicado hace 38 días,2021-07-02,"Coronel Souper, Santiago, Estación Central, Chile, San Alberto Hurtado, Estación Central, RM (Metropolitana)",320.000,,"0,22 UF/m²","0,25 UF/m²",50 m²,47 m²,2,1,50000 CLP,,4 años,,,,,,
3280,Departamento 2d+2b Amunátegui Con Sto Domingo,Departamento,Publicado hace 38 días,2021-07-02,"Amunátegui 573, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",350.000,,"0,21 UF/m²","0,84 UF/m²",55 m²,53 m²,2,2,90000 CLP,,12 años,,,11,10,20,P
3281,Impecable Entrega Inmediata  En Nuñoa,Departamento,Publicado hace 38 días,2021-07-02,"Zañartu 2132, Ñuñoa, Chile, Estadio Nacional, Ñuñoa, RM (Metropolitana)",415.000,,"0,28 UF/m²","0,3 UF/m²",50 m²,54 m²,2,2,70000 CLP,,3 años,,,10,8,10,S
3282,Mall Plaza Egaña ,Departamento,Publicado hace 38 días,2021-07-02,"Mall Plaza Egaña, Blest Gana, La Reina, RM (Metropolitana)",520.000,,"0,28 UF/m²",,63 m²,63 m²,2,1,100000 CLP,1,,2,1,,,,OR
3283,Arriendo Departamento Parque Araucano Amoblado,Departamento,Publicado hace 38 días,2021-07-02,"Cerro Colorado 5870, Las Condes, Chile, Parque Arauco, Las Condes, RM (Metropolitana)",850.000,,"0,32 UF/m²","0,33 UF/m²",90 m²,90 m²,2,2,,1,2014 años,,1,14,6,,
3284,Departamento En Arriendo De 3 Dorm. En Las Condes,Departamento,Publicado hace 38 días,2021-07-02,"Presidente Riesco / Vista Club De Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",70,2.079.896,"0,2 UF/m²","0,26 UF/m²",350 m²,300 m²,3,3,1400000 CLP,3,,,,,,,
3285,San Ignacio 4252 A Pasos De Av. Salesianos,Departamento,Publicado hace 38 días,2021-07-02,"San Ignacio 4252 A Pasos De Av. Salesianos, El Llano, San Miguel, RM (Metropolitana)",230.000,,"0,31 UF/m²","0,27 UF/m²",25 m²,25 m²,1,1,,,,1,,,,,
3286,"Departamento De 2 Dormitorios, 2 Baños Y Bodega",Departamento,Publicado hace 38 días,2021-07-02,"Lord Cochrane, Bulnes, Santiago, RM (Metropolitana)",390.000,,"0,26 UF/m²","0,26 UF/m²",51 m²,46 m²,2,2,40000 CLP,,6 años,,,,,,
3287,Departamento En Arriendo De 2 Dorm. En Ñuñoa,Departamento,,2021-07-02,"Jorge Washington / Simón Bolívar, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",500.000,,"0,28 UF/m²","0,3 UF/m²",60 m²,57 m²,2,2,70000 CLP,1,,,,,,,
3288,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,Publicado hace 38 días,2021-07-02,"¡¡¡¡full Amoblado!!!! Barrio Republica, Santiago Centro, Barrio República, Santiago, RM (Metropolitana)",330.000,,"0,27 UF/m²","0,72 UF/m²",41 m²,37 m²,1,1,85000 CLP,1,,,,,,,
3289,Oportunidad Departamento En Hermoso Barrio De San Miguel,Departamento,Publicado hace 38 días,2021-07-02,"Oportunidad Departamento En Hermoso Barrio De San Miguel, Lo Vial, San Miguel, RM (Metropolitana)",385.000,,"0,25 UF/m²","0,26 UF/m²",52 m²,47 m²,2,1,85000 CLP,,2 años,,,,,,
3290,Amplio Departamento A 150 Metros De La Estación Santa Isabel,Departamento,Publicado hace 38 días,2021-07-02,"Santa Isabel 176, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",430.000,,"0,24 UF/m²",,60 m²,56 m²,1,2,60000 CLP,1,,,1,22,,,
3291,Cómodo Departamento De Un Dormitorio,Departamento,Publicado hace 38 días,2021-07-02,"Av. Manuel Rodríguez 881, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",260.000,,"0,24 UF/m²","0,72 UF/m²",36 m²,36 m²,1,1,40000 CLP,,,,,14,,,
3292,Excelente Ubicación. Cerca Del Metro La Moneda,Departamento,,2021-07-02,"Oportunidad Cerca Del Metro La Moneda,, Bulnes, Santiago, RM (Metropolitana)",260.000,,"0,27 UF/m²","0,72 UF/m²",33 m²,33 m²,1,1,45000 CLP,,,,,,,,
3293,Amplio Y Luminoso,Departamento,Publicado hace 38 días,2021-07-02,"Tabancura, Juan XXIII, Vitacura, RM (Metropolitana)",1.050.000,,"0,25 UF/m²","0,26 UF/m²",140 m²,130 m²,3,3,210000 CLP,2,2005 años,,,,,,
3294,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,,2021-07-02,"Eleuterio Ramírez Con Serrano, Bulnes, Santiago, RM (Metropolitana)",260.000,,"0,19 UF/m²","0,72 UF/m²",45 m²,45 m²,1,1,50000 CLP,,,,,,,,
3295,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,,2021-07-02,"Padre Miguel De Olivares Con San Ignacio, Bulnes, Santiago, RM (Metropolitana)",250.000,,"0,23 UF/m²","0,72 UF/m²",36 m²,35 m²,1,1,50000 CLP,,,,,,,,
3296,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,,2021-07-02,"Bombero Ossa Con Ahumada, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",180.000,,"0,14 UF/m²","0,72 UF/m²",43 m²,43 m²,1,1,43000 CLP,,,,,,,,
3297,Departamento En Arriendo De 1 Dorm. En Estación Central,Departamento,,2021-07-02,"Recreo Con Coronel Souper, San Alberto Hurtado, Estación Central, RM (Metropolitana)",230.000,,"0,23 UF/m²","0,26 UF/m²",34 m²,32 m²,1,1,50000 CLP,,,,,,,,
3298,"Recién Remodelado, Conserjería, Cámaras Seguridad",Departamento,Publicado hace 38 días,2021-07-02,"Dr. Lucas Sierra 3557, Quinta Normal, Chile, Parque Padre Renato Poblete, Quinta Normal, RM (Metropolitana)",350.000,,"0,25 UF/m²","0,25 UF/m²",48 m²,45 m²,2,1,30000 CLP,,14 años,,,3,,5,
3299,Departamento En Arriendo De 2 Dorm. En Estación Central,Departamento,Publicado hace 38 días,2021-07-02,"A Estrenar!!! 2 Dormitorios, 1 Baño Y Bodega., Metro Las Rejas, Estación Central, RM (Metropolitana)",340.000,,"0,24 UF/m²","0,25 UF/m²",47 m²,45 m²,2,1,,,,,,,,,
3300,"Departamento Amoblado, 2d 2b,  Plaza Nuñoa",Departamento,Publicado hace 38 días,2021-07-02,"Irarrázaval, Villa Frei, Ñuñoa, RM (Metropolitana)",620.000,,"0,34 UF/m²","0,25 UF/m²",62 m²,52 m²,2,2,105000 CLP,,6 años,,,,,,
3301,"Arrienda Depto 2d,2b,pte Cal Y Canto+ Bodega",Departamento,Publicado hace 38 días,2021-07-02,"Santiago, Santiago, RM (Metropolitana)",350.000,,"0,16 UF/m²","0,21 UF/m²",75 m²,70 m²,2,2,,,10 años,,,,,,
3302,Departamento De Un Ambiente En Pleno Centro,Departamento,Publicado hace 38 días,2021-07-02,"San Antonio 726, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",210.000,,"0,2 UF/m²","0,72 UF/m²",35 m²,35 m²,1,1,30000 CLP,,,,,,,,O
3303,Depto Remodelado Año Corrido Stgo Centro Barrio Yungay,Departamento,Publicado hace 38 días,2021-07-02,"Catedral 2100 - 2400, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",450.000,,"0,3 UF/m²","0,26 UF/m²",50 m²,49 m²,2,1,0 CLP,,24 años,,,,2,4,N
3304,Departamento En Arriendo De 3 Dorm. En Vitacura,Departamento,Publicado hace 38 días,2021-07-02,"Antillanca - Alto Las Condes, La Llavería, Vitacura, RM (Metropolitana)",1.200.000,,"0,24 UF/m²",,166 m²,140 m²,3,3,250000 CLP,2,,,,,,,
3305,Se Arrienda Lindo Departamento Con Excelente Ubicacion,Departamento,Publicado hace 38 días,2021-07-02,"Manuel Antonio Tocornal 343, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",440.000,,"0,26 UF/m²","0,26 UF/m²",56.78 m²,46.57 m²,2,2,110000 CLP,,,,,5,,9,
3306,Metro Santa Ana,Departamento,Publicado hace 38 días,2021-07-02,"Metro Santa Ana, Barrio Brasil, Santiago, RM (Metropolitana)",10,297.128,"0,4 UF/m²","0,72 UF/m²",25.1 m²,25.1 m²,1,1,26500 CLP,,,1,,,,4,PONIENTE
3307,Hermoso Dpto 1d1b Con Terraza En Santa Petronila38 ,Departamento,Publicado hace 38 días,2021-07-02,"Estación Central, Metro Las Rejas, Estación Central, RM (Metropolitana)",275.000,,"0,29 UF/m²","0,26 UF/m²",32 m²,32 m²,1,1,,,0 años,,,,,,
3308,Bonito Dpto 2d2b Con Bodega En Estacion Central-av. Ecuador,Departamento,Publicado hace 38 días,2021-07-02,"Estación Central, Metro Las Rejas, Estación Central, RM (Metropolitana)",350.000,,"0,21 UF/m²","0,22 UF/m²",57 m²,57 m²,2,2,,,0 años,,,,,,
3309,Comodo Dpto Tipo Estudio Santiago Centro,Departamento,Publicado hace 38 días,2021-07-02,"Santiago, Franklin - Biobío, Santiago, RM (Metropolitana)",215.000,,"0,29 UF/m²","0,72 UF/m²",25 m²,25 m²,1,1,,,0 años,,,,,,
3310,Bello Dpto 1d1b Nuevo A Estrenar Estación Central-placilla,Departamento,Publicado hace 38 días,2021-07-02,"Estación Central, San Alberto Hurtado, Estación Central, RM (Metropolitana)",250.000,,"0,31 UF/m²","0,26 UF/m²",27 m²,27 m²,1,1,,,0 años,,,,,,
3311,Excelente Dpto De 1d1b En Ñuñoa - Julio Prado,Departamento,Publicado hace 38 días,2021-07-02,"Ñuñoa, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",420.000,,"0,39 UF/m²","0,31 UF/m²",36 m²,36 m²,1,1,,1,0 años,,,,,,
3312,Bello Dpto 2d1b Estacion Central,Departamento,Publicado hace 38 días,2021-07-02,"Estación Central, San Alberto Hurtado, Estación Central, RM (Metropolitana)",390.000,,"0,28 UF/m²","0,25 UF/m²",47 m²,47 m²,2,1,,1,0 años,,,,,,
3313,Bello Dpto 1d1b Nuevo A Estrenar Estación Central,Departamento,Publicado hace 38 días,2021-07-02,"Estación Central, Metro Las Rejas, Estación Central, RM (Metropolitana)",260.000,,"0,26 UF/m²",,34 m²,34 m²,,1,,,0 años,,,,,,
3314,Departamento En Arriendo De 1 Dorm. En Las Condes,Departamento,,2021-07-02,"El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",450.000,,"0,34 UF/m²","0,37 UF/m²",45 m²,45 m²,1,1,120000 CLP,1,,,,,,,
3315,Arriendo Dpto Hernando De Aguirre / Carlos Antunez,Departamento,Publicado hace 38 días,2021-07-02,"Arriendo Dpto Hernando De Aguirre / Carlos Antunez, Las Lilas, Providencia, RM (Metropolitana)",27,802.246,"0,34 UF/m²","0,28 UF/m²",80 m²,71 m²,2,2,125000 CLP,1,,3,1,,,,
3316,Departamento En Arriendo De 2 Dorm. En Ñuñoa,Departamento,Publicado hace 38 días,2021-07-02,"Hermoso Departamento De 2 Dormitorios Ubicado A Pasos De Plaza Egaña, Diagonal Oriente, Ñuñoa, RM (Metropolitana)",530.000,,"0,29 UF/m²","0,25 UF/m²",61.7 m²,56 m²,2,2,110000 CLP,1,,,,,,,
3317,Departamento Muy Amplio,Departamento,Publicado hace 38 días,2021-07-02,"Bombero Adolfo Ossa 1028, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",280.000,,"0,18 UF/m²",,52 m²,52 m²,1,1,80000 CLP,,,,,10,8,11,
3318,Bellísimo Dpto Amoblado Tipo Studio- Parque Mackenna,Departamento,Publicado hace 38 días,2021-07-02,"Macul, Metro Camino Agrícola, Macul, RM (Metropolitana)",320.000,,,,33 m²,33 m²,,,,,0 años,,,,,,
