,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Ambientes,Bodegas,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Orientación
1692,Departamento A Pasos De Estación Metro Hospitales,Departamento,Publicado hace 4 meses,2021-07-02,"Hospitales, Independencia, RM (Metropolitana)",280.000,,"0,25 UF/m²",4 UF/m²,37 m²,35 m²,1,1,35000 CLP,,,2,,,,19,P
1693,Departamento A Pasos De Estación Metro Hospitales,Departamento,Publicado hace 4 meses,2021-07-02,"Hospitales, Independencia, RM (Metropolitana)",280.000,,"0,25 UF/m²",4 UF/m²,37 m²,35 m²,1,1,35000 CLP,,,2,,,,19,P
1694,Departamento A Pasos De Estación Metro Hospitales,Departamento,Publicado hace 4 meses,2021-07-02,"Hospitales, Independencia, RM (Metropolitana)",280.000,,"0,25 UF/m²",4 UF/m²,37 m²,35 m²,1,1,35000 CLP,,,2,,,,19,P
1695,Departamento En Arriendo De 1 Dorm. En Providencia,Departamento,Publicado hace 4 meses,2021-07-02,"Los Leones, Providencia, RM (Metropolitana)",480.000,,"0,58 UF/m²","0,34 UF/m²",28 m²,28 m²,1,1,,,,,,,,,
1696,Huinganal,Departamento,,2021-07-02,"Huinganal, El Huinganal, Lo Barnechea, RM (Metropolitana)",3.300.000,,"0,36 UF/m²",,310 m²,235 m²,3,4,450000 CLP,3,,4,1,,,,
1697,Geronimo De Alderete,Departamento,Publicado hace 4 meses,2021-07-02,"Geronimo De Alderete, Parque Arauco, Las Condes, RM (Metropolitana)",48,1.426.214,"0,32 UF/m²","0,28 UF/m²",150 m²,120 m²,3,3,250000 CLP,2,,3,1,,,,NORTE
1698,Departamento Nuevo En El Corazón De San Miguel,Departamento,Publicado hace 4 meses,2021-07-02,"Departamento Nuevo En El Corazón De San Miguel, Lo Vial, San Miguel, RM (Metropolitana)",360.000,,"0,27 UF/m²","0,26 UF/m²",44.36 m²,40.3 m²,2,1,65000 CLP,,1 años,,,,,,
1699,Oportunidad Departamento Nuevo En Barrio Éntrico De San M...,Departamento,Publicado hace 4 meses,2021-07-02,"Oportunidad Departamento Nuevo En Barrio Éntrico De San Miguel, Lo Vial, San Miguel, RM (Metropolitana)",355.000,,"0,27 UF/m²","0,26 UF/m²",44.36 m²,40.3 m²,2,1,65000 CLP,,5 años,,,,,,
1700,Departamento En Arriendo En Providencia,Departamento,Publicado hace 4 meses,2021-07-02,"Los Conquistadores / El Cerro, Providencia, RM (Metropolitana)",420.000,,"0,28 UF/m²",,50 m²,42 m²,,1,100000 CLP,1,,,,,,,
1701,Bellas Artes ,Departamento,Publicado hace 4 meses,2021-07-02,"Bellas Artes, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",350.000,,"0,31 UF/m²","0,72 UF/m²",38 m²,35 m²,1,1,35000 CLP,,,1,,,,,
