,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
1467,Código: 1028018151-192,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,Cerro Colorado,$ 1.200.000,"UF 40,64",3,3,,135 m²,145 m²,,23-06-2021,2020 1ºSem,93,-33.3998,-70.5689
1468,Código: 201036955,Casa,Casa en Arriendo Las Condes - Metropolitana Ver ubicación,MANQUEHUE,UF 125,$ 3.691.185,9,4,360 m²,280 m²,,112.030.497,15-01-2021,2020 1ºSem,84,-33.4294,-70.5444
1469,Código: 202160756,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,Penthouse San Damián,UF 150,$ 4.429.422,2,3,,334 m²,558 m²,,08-04-2019,2020 1ºSem,82,-33.3866,-70.5201
1470,Código: 202028194,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,San Damian,UF 85,$ 2.510.005,3,3,,250 m²,250 m²,,03-03-2020,2020 1ºSem,82,-33.3851,-70.5258
1471,Código: 28617,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Av. Recoleta,$ 390.000,"UF 13,21",3,2,,"53,3 m²","56,3 m²",,15-06-2021,,,-33.4116,-70.6437
1472,Código: 202372015,Departamento,Departamento en Arriendo Recoleta - Metropolitana Ver ubicación,Av. Recoleta/Metro Cementerios,$ 380.000,"UF 12,87",2,1,,4.120 m²,4.698 m²,,05-03-2021,,,-33.4115,-70.6441
1473,Código: 25700,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Av. Recoleta,$ 350.000,"UF 11,85",2,1,,"45,4 m²",47 m²,,07-04-2021,,,-33.4116,-70.6437
1474,Código: 52336,Departamento,Departamento en Arriendo Recoleta - Metropolitana Ver ubicación,Unión/El Salto Chico,$ 625.000,"UF 21,17",3,2,,72 m²,,,13-04-2021,,,-33.4164,-70.6432
1475,Código: 25067,Departamento,Departamento en Arriendo Recoleta - Metropolitana Ver ubicación,Av. Recoleta 1760,$ 350.000,"UF 11,85",2,1,,"45,4 m²",47 m²,,05-04-2021,,,-33.4116,-70.6437
1476,Código: 201135125,Casa,Casa en Arriendo Vitacura - Metropolitana Ver ubicación,Colegio San Benito / Parque Antonio Rabat,$ 3.500.000,"UF 118,53",5,6,700 m²,370 m²,,,05-03-2021,2020 1ºSem,99,-33.3694,-70.583
1477,Código: 201072929,Casa,Casa en Arriendo Las Condes - Metropolitana Ver ubicación,MANQUEHUE,UF 142,$ 4.193.186,6,4,1.000 m²,373 m²,,359.134.319,14-12-2019,2020 1ºSem,70,-33.4114,-70.5663
1478,Código: 51039,Departamento,Departamento en Arriendo San Miguel - Metropolitana Ver ubicación,Gran Avenida José M Carrera/Departamental,$ 250.000,"UF 8,47",1,1,,42 m²,,17.699.310,25-05-2021,2020 1ºSem,45,-33.5045,-70.6515
1479,Código: 52633,Departamento,Departamento en Arriendo San Miguel - Metropolitana Ver ubicación,Gran Avenida/Primera Avenida,$ 300.000,"UF 10,16",1,1,,30 m²,,,30-04-2021,2020 1ºSem,45,-33.505,-70.6553
1480,Código: EB-DH5951,Casa,Casa en Arriendo Colina - Metropolitana Ver ubicación,Las Brisas.,UF 148,$ 4.370.363,7,7,2.495 m²,537 m²,,,02-10-2020,,,-33.239,-70.6763
1481,Código: 202024281,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,CARMEN/ARGOMEDO,UF 11,$ 324.824,2,1,,45 m²,47 m²,,28-02-2020,,,-33.4648,-70.6376
1482,Código: Add1026243,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,Se Arrienda-Lindo Depto Duplex-Sector Pdte. Riesco-Las Tranqueras-Las Condes,$ 2.890.000,"UF 97,87",3,3,,,190 m²,,08-03-2021,2020 1ºSem,93,-33.3935861,-70.555083
1483,Código: 202003811,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,PRESIDENTE RIESCO,UF 59,$ 1.742.239,4,4,,180 m²,200 m²,,15-01-2020,2020 1ºSem,93,-33.3954,-70.5582
1484,Código: Add1027955,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,CAPITAN CROSBIE / HERMANOS CABOT,$ 1.800.000,"UF 60,96",4,4,,165 m²,165 m²,,08-03-2021,2020 1ºSem,93,-33.3953599,-70.5581546
1485,Código: 26578,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,kennedy,$ 890.000,"UF 30,14",2,2,,85 m²,80 m²,,23-04-2021,2020 1ºSem,109,-33.3914,-70.551
1486,Código: 1567188,Departamento,Departamento en Arriendo Providencia - Metropolitana Ver ubicación,Oportunidad Santa Isabel,$ 600.000,"UF 20,32",2,2,,54 m²,,2.266.930.787,27-05-2021,2020 1ºSem,73,-33.4457,-70.6193
1487,Código: 1571435,Departamento,Departamento en Arriendo Providencia - Metropolitana Ver ubicación,Departamento Amoblado - Estacionamiento,$ 800.000,"UF 27,09",2,2,,58 m²,70 m²,72.814.386,27-05-2021,2020 1ºSem,73,-33.4404,-70.6196
1488,Código: 202375512,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Entre Metro Parque O`higgins y Metro Rondizzoni,$ 250.000,"UF 8,47",1,1,,25 m²,25 m²,,18-04-2021,2020 1ºSem,35,-33.4651,-70.653
1489,Código: 26247,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,cumming,$ 290.000,"UF 9,82",1,1,,44 m²,44 m²,,20-04-2021,2020 1ºSem,37,-33.4296,-70.67
1490,Código: EB-GW0006,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,San Damián.,UF 68,$ 2.008.004,4,3,,247 m²,2.100 m²,,29-04-2021,2020 1ºSem,82,-33.3781,-70.5217
1491,Código: 202010615,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,San Damián - Av. Las Condes,$ 2.250.000,"UF 76,2",4,4,,240 m²,250 m²,,21-11-2020,2020 1ºSem,82,-33.377,-70.5256
1492,Código: 202041401,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Las Hualtatas - San Damián,"UF 24,2",$ 714.613,2,2,,66 m²,87 m²,,25-02-2021,2020 1ºSem,102,-33.3742,-70.526
1493,Código: Add1075941,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Monseñor Escriva de Balaguer,$ 950.000,"UF 32,17",3,2,102 m²,95 m²,95 m²,,30-05-2021,2020 1ºSem,102,-33.3743885,-70.5264225
1494,Código: 202025657,Departamento,Departamento en Arriendo San Joaquín - Metropolitana Ver ubicación,Metro Carlos Valdovinos,$ 420.000,"UF 14,22",3,2,,67 m²,70 m²,,20-11-2020,,,-33.4868,-70.6204
1495,Código: 201371424,Casa,Casa en Arriendo San Joaquín - Metropolitana Ver ubicación,Av Vicuña Mackenna / Schubert,$ 1.350.000,"UF 45,72",5,3,223 m²,136 m²,,,05-04-2021,2020 1ºSem,35,-33.4826,-70.625
1496,Código: 202007935,Departamento,Departamento en Arriendo Lo Barnechea - Metropolitana Ver ubicación,Avda. La Dehesa,UF 85,$ 2.510.005,3,3,,214 m²,241 m²,,25-04-2021,2020 1ºSem,90,-33.3589,-70.5207
1497,Código: 1028018011-280,Departamento,Departamento en Arriendo Lo Barnechea - Metropolitana Ver ubicación,"Amoblado, La Espuela",UF 57,$ 1.683.180,4,3,,"125,5 m²","145,8 m²",,21-05-2021,2020 1ºSem,90,-33.3569,-70.5222
1498,Código: 202035915,Departamento,Departamento en Arriendo Lo Barnechea - Metropolitana Ver ubicación,Camino Real,UF 227,$ 6.703.191,4,6,,402 m²,658 m²,,14-04-2020,2020 1ºSem,105,-33.3322,-70.5539
1499,Código: EB-DI6197,Casa,Casa en Arriendo Lo Barnechea - Metropolitana Ver ubicación,Golf de Manquehue.,UF 204,$ 6.024.013,5,5,2.324 m²,600 m²,,,28-06-2019,2020 1ºSem,72,-33.3399,-70.5576
1500,Código: 202001240,Departamento,Departamento en Arriendo Lo Barnechea - Metropolitana Ver ubicación,Camino Punta de Aguila,UF 227,$ 6.703.191,5,6,,402 m²,658 m²,,13-04-2021,,,-33.3317,-70.5539
1501,Código: EB-HJ8022,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,San Carlos de Apoquindo.,UF 46,$ 1.358.356,4,4,,140 m²,,,29-04-2021,2020 1ºSem,82,-33.3975,-70.507
1502,Código: 202375299,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Parque los Reyes,$ 300.000,"UF 10,16",2,1,,42 m²,42 m²,,02-04-2021,2020 1ºSem,37,-33.4311,-70.6805
1503,Código: 202055022,Departamento,Departamento en Arriendo Quinta Normal - Metropolitana Ver ubicación,San Pablo / General Velásquez,$ 400.000,"UF 13,55",3,2,,"65,4 m²","67,4 m²",,02-06-2021,2020 1ºSem,37,-33.4382,-70.6896
1504,Código: :codigo:,,:direccion: Ver ubicación,:titulo:,:precioUF:,:precioDespliegue:,:dormitoriosText:,:,:superficieTerreno: m²,:metrosUtiles: m²,:metrosConstruidos: m²,:avaluoFiscalTotalPesos:,30-06-2021,,,-33.2852,-70.6953
1505,Código: CG-7082,Casa,Casa en Arriendo Colina - Metropolitana Ver ubicación,Chicureo Oriente,$ 3.500.000,"UF 118,53",4,4,5.000 m²,367 m²,,,25-03-2021,,,-33.2852,-70.6953
1506,Código: 202036481,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Agua del Palo,UF 100,$ 2.952.948,3,2,,257 m²,317 m²,,02-06-2021,2020 1ºSem,125,-33.3814,-70.589
1507,Código: 1578447,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Amplio departamento de 2D,$ 520.000,"UF 17,61",2,2,,60 m²,64 m²,,24-06-2021,2020 1ºSem,75,-33.4551,-70.5878
1508,Código: 47563,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Juan Moya Morales/Duble Almeyda,$ 390.000,"UF 13,21",1,1,,37 m²,,43.401.412,21-05-2021,2020 1ºSem,59,-33.4558,-70.5859
1509,Código: 202002006,Departamento,Departamento en Arriendo Lo Barnechea - Metropolitana Ver ubicación,MIRADOR SANTA ANITA,UF 260,$ 7.677.664,4,5,,410 m²,410 m²,,16-09-2019,,,-33.3649,-70.5465
1510,Código: 202008260,Departamento,Departamento en Arriendo Lo Barnechea - Metropolitana Ver ubicación,El Tranque - Los Olivos,$ 4.500.000,"UF 152,39",3,4,,353 m²,453 m²,,19-05-2021,2020 1ºSem,85,-33.3602,-70.5427
1511,Código: EB-HL6997,Casa,Casa en Arriendo Vitacura - Metropolitana Ver ubicación,Lo Curro.,UF 152,$ 4.488.480,4,4,2.000 m²,350 m²,,,14-05-2021,2020 1ºSem,79,-33.3688,-70.5498
1512,Código: 202186166,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,SANTA TERESITA,$ 3.600.000,"UF 121,91",4,4,,330 m²,1.230 m²,,02-02-2021,2020 1ºSem,85,-33.3686,-70.5437
1513,Código: EB-HJ3011,Departamento,Departamento en Arriendo Vitacura - Metropolitana Ver ubicación,Santa Teresa de Los Andes.,UF 121,$ 3.573.067,4,4,,900 m²,,,15-05-2021,2020 1ºSem,85,-33.3686,-70.5437
1514,,,,,,,,,,,,,,,,,
