,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Orientación,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Bodegas
470,"Metro Chacabuco, 2 Dormitorios",Departamento,Publicado hace 21 días,2021-07-01,"Hipodromo De Chile                                     1500 - 1800, Plaza Chacabuco, Independencia, RM (Metropolitana)",290.000,,"0,2 UF/m²","0,24 UF/m²",48 m²,45 m²,2,1,,55000 CLP,,,,,,
471,Arriendo  Luminoso Departamento Con Balcon,Departamento,Publicado hace 21 días,2021-07-01,"Olivos 1148 - Departamento 1800 - 2100, Hospitales, Independencia, RM (Metropolitana)",380.000,,"0,28 UF/m²","0,26 UF/m²",45 m²,45 m²,2,2,1,,,,,,,
472,Excelente Departamento.  Proyecto Independencia Park .,Departamento,Publicado hace 17 días,2021-07-01,"Leonor Cepeda 952 - Departamento 1718, Hospitales, Independencia, RM (Metropolitana)",270.000,,"0,24 UF/m²",4 UF/m²,38 m²,36 m²,1,1,,,,,,,,
473,Dpto Como Nuevo Pablo Urzua,Departamento,Publicado hace 15 días,2021-07-01,"Pablo Urzúa 1481 - Departamento 900 - 1200, Plaza Chacabuco, Independencia, RM (Metropolitana)",200.000,,"0,22 UF/m²",4 UF/m²,30 m²,30 m²,1,1,,,,,,,,
474,"Departamento En El Molino 1845, Independencia",Departamento,Publicado hace 15 días,2021-07-01,"El Molino 1845, Juan Antonio Ríos, Independencia, RM (Metropolitana)",270.000,,"0,28 UF/m²",4 UF/m²,33 m²,33 m²,1,1,,35000 CLP,,,,,,
475,Arriendo Depto 2d+1b+estc+bg Metro:plaza Chacabuco,Departamento,Publicado hace 12 días,2021-07-01,"Hipódromo Chile 1876 - Departamento 2210, Plaza Chacabuco, Independencia, RM (Metropolitana)",380.000,,"0,25 UF/m²",,51 m²,51 m²,2,1,1,,,,,,,
476,Arriendo Hermoso Departamento Ubicado En Independencia32 M2,Departamento,Publicado hace 8 días,2021-07-01,"Inglaterra 1144, Hospitales, Independencia, RM (Metropolitana)",280.000,,"0,29 UF/m²",4 UF/m²,32 m²,32 m²,1,1,,,,,,,,
477,Encantador Departamento,Departamento,Publicado hace 8 días,2021-07-01,"Gamero 1500 - 1800, Hospitales, Independencia, RM (Metropolitana)",300.000,,"0,25 UF/m²","0,24 UF/m²",40 m²,38 m²,2,1,1,,,,,,,
478, Sector Av. Vivaceta / Calle El Molino,Departamento,Publicado hace 8 días,2021-07-01,"El Molino 1787 - Departamento 910, Juan Antonio Ríos, Independencia, RM (Metropolitana)",320.000,,"0,24 UF/m²",,45 m²,42 m²,3,1,,60000 CLP,,,,,,
479,Metro Cal Y Canto Seminuevo 2d1b + Est Y Bdga,Departamento,Publicado hace 8 días,2021-07-01,"Rivera 1370, Hospitales, Independencia, RM (Metropolitana)",330.000,,"0,24 UF/m²","0,24 UF/m²",46.5 m²,41 m²,2,1,1,75000 CLP,,,,,,
480, Departamento Estudio / Metro Plaza Chacabuco,Departamento,Publicado hace 8 días,2021-07-01,"Hipódromo Chile 1500 - 1800, Plaza Chacabuco, Independencia, RM (Metropolitana)",250.000,,"0,42 UF/m²",4 UF/m²,20 m²,20 m²,1,1,,,,,,,,
481,Requisitos Negociables/entrega Inmediata 2d 1b 1e 1b,Departamento,Publicado hace 8 días,2021-07-01,"Rivera 1370 - Departamento 900 - 1200, Hospitales, Independencia, RM (Metropolitana)",350.000,,"0,23 UF/m²","0,24 UF/m²",52 m²,50 m²,2,1,1,,,,,,,
482,Departamento Nuevo De 2 Dormitorios 2 Baños En,Departamento,Publicado hace 7 días,2021-07-01,"Domingo Santa María Altura 2565, Mirador Viejo, Independencia, RM (Metropolitana)",430.000,,"0,3 UF/m²","0,26 UF/m²",49 m²,46 m²,2,2,1,55000 CLP,,,,,,
483,Se Arrienda Departamento A Pasos Del Metro Plaza Chacabuco,Departamento,Publicado hace 7 días,2021-07-01,"Avenida Independencia 1800 - 2100, Plaza Chacabuco, Independencia, RM (Metropolitana)",250.000,,"0,28 UF/m²",4 UF/m²,30 m²,30 m²,1,1,,45000 CLP,,,,,,
484,Departamento En Calle Escanilla,Departamento,Publicado hace 7 días,2021-07-01,"Escanilla 1 - 300, Independencia, RM (Metropolitana)",380.000,,"0,39 UF/m²","0,24 UF/m²",33 m²,33 m²,2,1,1,,,,,,,
485,Edificio Moderno Lado Metro Y Mall,Departamento,Publicado hace 7 días,2021-07-01,"Colón 1200 - 1500, Hospitales, Independencia, RM (Metropolitana)",340.000,,"0,19 UF/m²",,59 m²,55 m²,3,1,1,780000 CLP,7 años,,,,,
486,Se Arriend Dpto 2d1b + Bod Y Estac  Independencia,Departamento,Publicado hace 6 días,2021-07-01,"Belisario Prats 1200 - 1500, Hospitales, Independencia, RM (Metropolitana)",360.000,,"0,22 UF/m²",,55 m²,52 m²,2,1,1,60000 CLP,,,,,,
487,$350.000  Arriendo Departamento 47m2 El Molino Independencia,Departamento,Publicado hace 6 días,2021-07-01,"El Molino 1800 - 2100, Independencia, RM (Metropolitana)",350.000,,"0,25 UF/m²",,47 m²,47 m²,3,1,,,,,,,,
488,"Departamento Un Dormitorio En Suite, $230.000 Mil",Departamento,Publicado hace 5 días,2021-07-01,"Avenida Independencia 600 - 900, Hospitales, Independencia, RM (Metropolitana)",230.000,,"0,28 UF/m²",4 UF/m²,28 m²,28 m²,1,1,,,,,,,,
489,Arriendo Departamento Nuevo 2 Dormitorios Y Estacionamiento,Departamento,Publicado hace 5 días,2021-07-01,"Domingo Santa María Altura 2400 - 2700, Independencia, RM (Metropolitana)",390.000,,"0,23 UF/m²",,57 m²,55 m²,2,2,1,60000 CLP,,,,,,
490,Departamento Estudio Con Estacionamiento,Departamento,Publicado hace 4 días,2021-07-01,"Padre José Cifuentes Grez 600 - 900, Hospitales, Independencia, RM (Metropolitana)",290.000,,"0,44 UF/m²",4 UF/m²,22 m²,20 m²,1,1,1,,,,,,,
491,Departamento En Independencia,Departamento,Publicado hace 3 días,2021-07-01,"Carrión 1200 - 1500, Hospitales, Independencia, RM (Metropolitana)",280.000,,"0,31 UF/m²",4 UF/m²,30 m²,30 m²,1,1,,40000 CLP,,,,,,
492,Hipodromo Chile / Metro Plaza Chacabuco,Departamento,Publicado hace 2 días,2021-07-01,"Hipódromo Chile 1800 - 2100, Independencia, RM (Metropolitana)",300.000,,"0,25 UF/m²",4 UF/m²,40 m²,40 m²,1,1,,40000 CLP,,,,,,
493,A Pasos Del Metro Chacabuco,Departamento,Publicado hace 2 días,2021-07-01,"Hipódromo Chile 1673 - Departamento 300 - 600, Independencia, RM (Metropolitana)",180.000,,"0,28 UF/m²",4 UF/m²,22 m²,22 m²,1,1,,,,,,,,
494,Departamento A Pasos De Mall De Independencia.,Departamento,Publicado hace 2 días,2021-07-01,"Independencia 740 - Departamento 2100 - 2400, Hospitales, Independencia, RM (Metropolitana)",230.000,,"0,22 UF/m²",4 UF/m²,36 m²,34 m²,1,1,,60000 CLP,,,,,,
495,Arriendo En Comuna De Independencia Luminoso Departamento,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Independencia 2264 - Departamento 1304, Plaza Chacabuco, Independencia, RM (Metropolitana)",380.000,,"0,28 UF/m²","0,26 UF/m²",45 m²,45 m²,2,2,,,,,,,,
496,¡gran Oportunidad! Excelente Depto 1d/1b Metro Hospitales.,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Independencia 801 - Departamento 1812, Hospitales, Independencia, RM (Metropolitana)",230.000,,"0,22 UF/m²",4 UF/m²,35 m²,35 m²,1,1,,45000 CLP,9 años,,,,,
497,"Cómodo, E Iluminado ",Departamento,Publicado hace 1 día,2021-07-01,"El Molino 1500 - 1800, Juan Antonio Ríos, Independencia, RM (Metropolitana)",260.000,,"0,3 UF/m²",4 UF/m²,28.94 m²,26.94 m²,1,1,,45000 CLP,,,,,,
498,Goycolea 1188,Departamento,Publicado hace 1 año,2021-07-01,"Goycolea 1188, Metro La Cisterna, La Cisterna, RM (Metropolitana)",12,361.902,"0,26 UF/m²",,47 m²,40 m²,2,1,,40000 CLP,,,,,,
499,Goycolea 1188,Departamento,Publicado hace 1 año,2021-07-01,"Goycolea 1188, Metro La Cisterna, La Cisterna, RM (Metropolitana)",13,411.522,"0,26 UF/m²",,54 m²,46 m²,3,1,,47000 CLP,,,,,,
500,Avenida Fernández Albano 775 - Departamento 508b,Departamento,Publicado hace 11 meses,2021-07-01,"Avenida Fernández Albano 775 - Departamento 508b, El Parrón, La Cisterna, RM (Metropolitana)",380.000,,"0,3 UF/m²",,42 m²,38 m²,2,1,1,,,,,,,
501,Avenida Fernández Albano 775 - Departamento 1102,Departamento,Publicado hace 10 meses,2021-07-01,"Avenida Fernández Albano 775 - Departamento 1102, El Parrón, La Cisterna, RM (Metropolitana)",430.000,,"0,32 UF/m²",,45 m²,45 m²,3,2,1,,,,,,,
502,A Metros De Gran Avenida.  Cercano A Metro La Cisterna,Departamento,Publicado hace 6 meses,2021-07-01,"Avenida Goycolea 600 - 900, Metro La Cisterna, La Cisterna, RM (Metropolitana)",330.000,,"0,22 UF/m²","0,26 UF/m²",50 m²,47 m²,2,2,1,,,,,,,
503,Metro La Cisterna,Departamento,Publicado hace 5 meses,2021-07-01,"Metro La Cisterna, Metro La Cisterna, La Cisterna, RM (Metropolitana)",340.000,,"0,2 UF/m²",,57.2 m²,50.92 m²,2,1,,,,,,,,
504,Avenida Fernández Albano 775 - Departamento 1507,Departamento,Publicado hace 5 meses,2021-07-01,"Avenida Fernández Albano 775 - Departamento 1507, El Parrón, La Cisterna, RM (Metropolitana)",360.000,,"0,27 UF/m²","0,26 UF/m²",45 m²,45 m²,2,2,,,,,,,,
505,Avenida Fernández Albano 775 - Departamento 205,Departamento,Publicado hace 5 meses,2021-07-01,"Avenida Fernández Albano 775 - Departamento 205, El Parrón, La Cisterna, RM (Metropolitana)",360.000,,"0,27 UF/m²","0,26 UF/m²",45 m²,45 m²,2,2,,,,,,,,
506,Avenida Fernández Albano 775 - Departamento 205,Departamento,Publicado hace 4 meses,2021-07-01,"Avenida Fernández Albano 775 - Departamento 205, El Parrón, La Cisterna, RM (Metropolitana)",360.000,,"0,27 UF/m²","0,26 UF/m²",45 m²,45 m²,2,2,,,,,,,,
507,Vicuña Mackenna 669,Departamento,Publicado hace 4 meses,2021-07-01,"Vicuña Mackenna 669, Metro La Cisterna, La Cisterna, RM (Metropolitana)",350.000,,"0,31 UF/m²",,38 m²,38 m²,2,1,,,,,,,,
508,Santa Clara 360,Departamento,Publicado hace 4 meses,2021-07-01,"Santa Clara 360, Lo Ovalle, La Cisterna, RM (Metropolitana)",290.000,,"0,29 UF/m²",,34 m²,34 m²,1,1,,,,,,,,
509,Mirador De Goycolea,Departamento,Publicado hace 3 meses,2021-07-01,"Mirador De Goycolea, Metro La Cisterna, La Cisterna, RM (Metropolitana)",330.000,,"0,23 UF/m²","0,26 UF/m²",48 m²,45 m²,2,2,,,,,,,,
510,Santa Clara 360 - Departamento 1001,Departamento,Publicado hace 3 meses,2021-07-01,"Santa Clara 360 - Departamento 1001, Lo Ovalle, La Cisterna, RM (Metropolitana)",250.000,,"0,34 UF/m²",,25 m²,25 m²,1,1,,50000 CLP,,,,,,
511,"Lindo Dpto. Metro San Miguel, Est + Bodega, Amplia Terraza",Departamento,Publicado hace 3 meses,2021-07-01,"María Auxiliadora 860, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",50 m²,47 m²,2,1,1,55000 CLP,,,,,,1
512,Santa Clara 360,Departamento,Publicado hace 3 meses,2021-07-01,"Santa Clara 360, Lo Ovalle, La Cisterna, RM (Metropolitana)",290.000,,"0,26 UF/m²",,37 m²,35 m²,1,1,,,,,,,,
513,Carvajal 358,Departamento,Publicado hace 3 meses,2021-07-01,"Carvajal 358, Lo Ovalle, La Cisterna, RM (Metropolitana)",280.000,,"0,26 UF/m²",,36 m²,34 m²,1,1,,45000 CLP,,,,,,
514,Carvajal 358,Departamento,Publicado hace 3 meses,2021-07-01,"Carvajal 358, Lo Ovalle, La Cisterna, RM (Metropolitana)",420.000,,"0,27 UF/m²","0,26 UF/m²",52.31 m²,49.31 m²,2,2,1,,,,,,,
515,Arriendo  Luminoso Departamento,Departamento,Publicado hace 11 días,2021-07-01,"Avenida Fernández Albano 775 - Departamento 1200 - 1500, La Cisterna, RM (Metropolitana)",340.000,,"0,28 UF/m²",,41 m²,38 m²,2,1,,,,,,,,
516,Avenida Fernández Albano 775 - Departamento 1004a,Departamento,Publicado hace 3 meses,2021-07-01,"Avenida Fernández Albano 775 - Departamento 1004a, El Parrón, La Cisterna, RM (Metropolitana)",380.000,,"0,29 UF/m²",,44 m²,40 m²,2,1,1,,,,,,,
517,"Arriendo Depto Studio Nuevo, Metro Lo Ovalle Línea 2",Departamento,Publicado hace 2 meses,2021-07-01,"Santa Clara 360, Lo Ovalle, La Cisterna, RM (Metropolitana)",230.000,,"0,3 UF/m²",,26 m²,26 m²,1,1,,40000 CLP,,,,,,
518,Avenida Fernández Albano 775 - Departamento 904a,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Fernández Albano 775 - Departamento 904a, El Parrón, La Cisterna, RM (Metropolitana)",380.000,,"0,3 UF/m²",,42 m²,38 m²,2,1,1,,,,,,,
519,Santa Clara 360,Departamento,Publicado hace 2 meses,2021-07-01,"Santa Clara 360, Lo Ovalle, La Cisterna, RM (Metropolitana)",290.000,,"0,27 UF/m²",,36 m²,34 m²,1,1,,,,,,,,
520,Arriendo Dep 1 Dor Nuevo,Departamento,Publicado hace 2 meses,2021-07-01,"Carvajal 358, Lo Ovalle, La Cisterna, RM (Metropolitana)",250.000,,"0,22 UF/m²",,39 m²,37 m²,1,1,,40000 CLP,,,,,,
521,Depto. Habitacional O Comercial,Departamento,Publicado hace 2 meses,2021-07-01,"Gran Avenida José Miguel Carrera 8423, El Parrón, La Cisterna, RM (Metropolitana)",900.000,,"0,19 UF/m²",,160 m²,120 m²,3,2,,30000 CLP,,,,,,
522,Santa Clara 360 Cercano A Metro Ciudad Del Niño,Departamento,Publicado hace 2 meses,2021-07-01,"Santa Clara 360, Lo Ovalle, La Cisterna, RM (Metropolitana)",260.000,,"0,25 UF/m²",,35 m²,35 m²,1,1,,35000 CLP,,,,,,
523,Santa Clara 360 Cercano A Metro Ciudad Del Niño,Departamento,Publicado hace 2 meses,2021-07-01,"Santa Clara 360, Lo Ovalle, La Cisterna, RM (Metropolitana)",260.000,,"0,25 UF/m²",,35 m²,35 m²,1,1,,35000 CLP,,,,,,
524,Departamento Estudio Metro Lo Ovalle,Departamento,Publicado hace 2 meses,2021-07-01,"Santa Clara 360, Lo Ovalle, La Cisterna, RM (Metropolitana)",230.000,,"0,33 UF/m²",,23.29 m²,23.29 m²,1,1,,,,,,,,
525,Departamento De Un Dormitorio Metro Lo Ovalle,Departamento,Publicado hace 2 meses,2021-07-01,"Santa Clara 300 - 600, Lo Ovalle, La Cisterna, RM (Metropolitana)",280.000,,"0,28 UF/m²",,34.21 m²,34.21 m²,1,1,,,,,,,,
526,Arriendo En Comuna De La Cisterna R.m  Luminoso Departamento,Departamento,Publicado hace 1 meses,2021-07-01,"Avenida Fernández Albano 775, El Parrón, La Cisterna, RM (Metropolitana)",360.000,,"0,3 UF/m²",,41 m²,38 m²,2,1,1,,,,,,,
527,Arriendo En Comuna De La Cisterna R.m  Luminoso Departamento,Departamento,Publicado hace 1 meses,2021-07-01,"Avenida Fernández Albano 775 - Departamento 183, El Parrón, La Cisterna, RM (Metropolitana)",380.000,,"0,31 UF/m²",,41 m²,38 m²,2,1,1,,,,,,,
528,Arriendo En Comuna De La Cisterna R.m  Luminoso Departamento,Departamento,Publicado hace 1 meses,2021-07-01,"Avenida Fernández Albano 775 - Departamento 607, El Parrón, La Cisterna, RM (Metropolitana)",360.000,,"0,29 UF/m²","0,26 UF/m²",42 m²,38 m²,2,2,,,,,,,,
529,Arriendo Dpto 3d-1b Comuna La Cisterna ,Departamento,Publicado hace 49 días,2021-07-01,"Colón 6300 - 6600, Lo Ovalle, La Cisterna, RM (Metropolitana)",280.000,,"0,2 UF/m²",,46.9 m²,46.9 m²,3,1,,45000 CLP,,,,,,
530,Departamento Nuevo 2 Dormitorio 1 Baño Metro El Parrón ,Departamento,Publicado hace 41 días,2021-07-01,"Avenida Fernández Albano 637, El Parrón, La Cisterna, RM (Metropolitana)",300.000,,"0,25 UF/m²",,41 m²,40 m²,2,1,,,,,,,,
531,Condomino Las Palmas La Cisterna,Departamento,Publicado hace 39 días,2021-07-01,"Pedro Aguirre Cerda 300 - 600, Metro La Cisterna, La Cisterna, RM (Metropolitana)",350.000,,"0,23 UF/m²",,52 m²,52 m²,2,1,,35000 CLP,,,,,,
532,Arriendo Dp Intermodal La Cisterna,Departamento,Publicado hace 20 días,2021-07-01,"Salas 7800 - 8100, El Parrón, La Cisterna, RM (Metropolitana)",320.000,,"0,25 UF/m²",,43 m²,40 m²,3,1,,40000 CLP,,,,,,
533,A Pasos De Metro Lo Ovalle ,Departamento,Publicado hace 35 días,2021-07-01,"Carvajal 300 - 600, Lo Ovalle, La Cisterna, RM (Metropolitana)",310.000,,"0,33 UF/m²",,31.24 m²,29.96 m²,1,1,1,50000 CLP,,,,,,
534,Departamento Nuevo En Fernadez Albano,Departamento,Publicado hace 34 días,2021-07-01,"Avenida Fernández Albano 1 - 300, Lo Ovalle, La Cisterna, RM (Metropolitana)",340.000,,"0,25 UF/m²",,45 m²,45 m²,2,1,1,55000 CLP,,,,,,
535,Arriendo Departamento En Fernández Albano 775,Departamento,Publicado hace 30 días,2021-07-01,"Fernandez Albano 600 - 900, El Parrón, La Cisterna, RM (Metropolitana)",360.000,,"0,25 UF/m²",,48 m²,48 m²,2,1,,48000 CLP,,,,,,
536,Comodo Departamento En Arriendo Carlos Condell 696,Departamento,Publicado hace 30 días,2021-07-01,"Carlos Condell 696, Metro La Cisterna, La Cisterna, RM (Metropolitana)",320.000,,"0,19 UF/m²",,58 m²,58 m²,3,1,,35000 CLP,,,,,,
537,Dpto 2d Con Est Y Bod / La Cisterna,Departamento,Publicado hace 28 días,2021-07-01,"Avenida Lo Ovalle 150, Lo Ovalle, La Cisterna, RM (Metropolitana)",370.000,,"0,14 UF/m²",,92 m²,46 m²,2,2,1,70000 CLP,,,,,,
538,"Departamento Nuevo, 1 Dormitorio, Trinidad Ramirez 654",Departamento,Publicado hace 27 días,2021-07-01,"Trinidad Ramírez 654, Metro La Cisterna, La Cisterna, RM (Metropolitana)",290.000,,"0,29 UF/m²",,34 m²,31 m²,1,1,,50000 CLP,,,,,,
539,Cómodo Depto 2d En La Cisterna,Departamento,Publicado hace 24 días,2021-07-01,"Avenida Lo Ovalle 150, Lo Ovalle, La Cisterna, RM (Metropolitana)",370.000,,"0,26 UF/m²","0,26 UF/m²",48 m²,46 m²,2,2,1,70000 CLP,,,,,,
540,Cómodo Departamento En La Cisterna,Departamento,Publicado hace 23 días,2021-07-01,"Avenida Lo Ovalle 900 - 1200, Lo Ovalle, La Cisterna, RM (Metropolitana)",330.000,,"0,29 UF/m²",,38 m²,35 m²,2,1,,35000 CLP,,,,,,
541,Agradable Depto Paradero 27 Cerca De Gran Avenida,Departamento,Publicado hace 22 días,2021-07-01,"Vicuña Mackenna 900 - 1200, Metro La Cisterna, La Cisterna, RM (Metropolitana)",370.000,,"0,26 UF/m²",,47 m²,47 m²,3,1,1,35000 CLP,,,,,,
542,Departamento 2d Y 2b,Departamento,Publicado hace 22 días,2021-07-01,"Avenida Goycolea 300 - 600, Metro La Cisterna, La Cisterna, RM (Metropolitana)",300.000,,"0,22 UF/m²","0,26 UF/m²",45 m²,45 m²,2,2,,,,,,,,
543,"Excelente Ubicacion, Metro La Cisterna.",Departamento,Publicado hace 19 días,2021-07-01,"Avenida Américo Vespucio 300 - 600, Metro La Cisterna, La Cisterna, RM (Metropolitana)",350.000,,"0,24 UF/m²",,50 m²,48 m²,3,1,,45000 CLP,,,,,,
544,Condominio Conquistadores 3 Dormitorios,Departamento,Publicado hace 17 días,2021-07-01,"Vicuña Mackenna 900 - 1200, Metro La Cisterna, La Cisterna, RM (Metropolitana)",357.000,,"0,23 UF/m²",,52 m²,47 m²,3,1,,28000 CLP,,,,,,
545,Depto Nuevo Dos Habitaciones Dos Baños,Departamento,Publicado hace 16 días,2021-07-01,"Avenida Lo Ovalle 1 - 300, Lo Ovalle, La Cisterna, RM (Metropolitana)",340.000,,"0,24 UF/m²","0,26 UF/m²",46.77 m²,43.41 m²,2,2,,,,,,,,
546,"Metro Lo Ovalle, Deptos Nuevos, 1 Dormitorio",Departamento,Publicado hace 16 días,2021-07-01,"Avenida Lo Ovalle 150, Lo Ovalle, La Cisterna, RM (Metropolitana)",280.000,,"0,26 UF/m²",,36.61 m²,33 m²,1,1,,,,,,,,
547,Metro Intermodal Con Estacionamiento,Departamento,Publicado hace 13 días,2021-07-01,"Vicuña Mackenna 980 - Departamento 922, Metro La Cisterna, La Cisterna, RM (Metropolitana)",370.000,,"0,26 UF/m²",,47 m²,47 m²,3,1,1,28000 CLP,,,,,,
548,Departamento Arriendo La Cisterna,Departamento,Publicado hace 11 días,2021-07-01,"Avenida Fernández Albano 1 - 300, El Parrón, La Cisterna, RM (Metropolitana)",395.000,,"0,26 UF/m²","0,26 UF/m²",51 m²,48 m²,2,2,1,60000 CLP,,,,,,
549,Se Arrienda Increiblé Departamento En La Cisterna,Departamento,Publicado hace 9 días,2021-07-01,"Fernandez Albano 600 - 900, El Parrón, La Cisterna, RM (Metropolitana)",330.000,,"0,21 UF/m²",,52 m²,46 m²,2,1,,75000 CLP,,,,,,
550,Depto 2d|1b - La Cisterna,Departamento,Publicado hace 9 días,2021-07-01,"Colón 6300 - 6600, Lo Ovalle, La Cisterna, RM (Metropolitana)",300.000,,"0,2 UF/m²",,50 m²,47 m²,2,1,,30000 CLP,,,,,,
551,Excelente Departamento De 3 Dormitorios En La Cisterna,Departamento,Publicado hace 8 días,2021-07-01,"Colón 6300 - 6600, Lo Ovalle, La Cisterna, RM (Metropolitana)",320.000,,"0,22 UF/m²",,48 m²,48 m²,3,1,,35000 CLP,,,,,,
552,"Arriendo Departamento En Vicuña Mackenna, La Cisterna",Departamento,Publicado hace 7 días,2021-07-01,"Vicuña Mackenna 600 - 900, Metro La Cisterna, La Cisterna, RM (Metropolitana)",255.000,,"0,21 UF/m²",,40 m²,40 m²,1,1,,50000 CLP,2 años,,,,,
553,$350.000 Arriendo Nuevo Depto 52m2 M° El Parron,Departamento,Publicado hace 6 días,2021-07-01,"Avenida Fernández Albano 600 - 900, El Parrón, La Cisterna, RM (Metropolitana)",350.000,,"0,23 UF/m²",,52 m²,52 m²,2,2,,,,,,,,
554,Departamento De 1 Dormitorio A Pasos De Metro La Cisterna,Departamento,Publicado hace 4 días,2021-07-01,"Brisas Del Maipo 446 - Departamento 300 - 600, La Cisterna, RM (Metropolitana)",270.000,,"0,28 UF/m²",,33 m²,33 m²,1,1,1,35000 CLP,,,,,,
555,"Depto De 3 Dormitorios En Fernando Rioja 145, La Cisterna",Departamento,Publicado hace 4 días,2021-07-01,"Fernando Rioja 145 - Departamento 300 - 600, La Cisterna, RM (Metropolitana)",360.000,,"0,19 UF/m²",,65 m²,65 m²,3,2,1,70000 CLP,,,,,,
556,Cómo Departamento De 3 Habitaciones En La Cisterna,Departamento,Publicado hace 4 días,2021-07-01,"Fernando Rioja 145 - Departamento 300 - 600, La Cisterna, RM (Metropolitana)",350.000,,"0,18 UF/m²",,65 m²,65 m²,3,2,,70000 CLP,,,,,,
557,Metro El Parron / Departamento Nuevo / Disp. Inmediata,Departamento,Publicado hace 3 días,2021-07-01,"Avenida Fernández Albano 600 - 900, La Cisterna, RM (Metropolitana)",250.000,,"0,27 UF/m²",,31 m²,26 m²,1,1,,,,,,,,
558,¡en Arriendo Depto En La Cisterna Cercano A Metro Lo,Departamento,Publicado hace 2 días,2021-07-01,"Avenida Lo Ovalle 0854 - Departamento 705 B, Lo Ovalle, La Cisterna, RM (Metropolitana)",360.000,,"0,24 UF/m²",,50 m²,50 m²,3,1,,40000 CLP,,,,,,
559,Arriendo En Comuna De La Cisterna R.m  Luminoso Departamento,Departamento,Publicado hace 2 días,2021-07-01,"Carvajal 358 - Departamento 1200 - 1500, Lo Ovalle, La Cisterna, RM (Metropolitana)",380.000,,"0,28 UF/m²","0,26 UF/m²",45 m²,45 m²,2,2,,,,,,,,
560,"Lindo Departamento, Buenas Terminaciones",Departamento,Publicado hace 2 días,2021-07-01,"Trinidad Ramírez 1 - 300, La Cisterna, RM (Metropolitana)",250.000,,"0,22 UF/m²",,38 m²,34 m²,1,1,,,,,,,,
561,"Lindo Departamento, Buenas Terminaciones",Departamento,Publicado hace 2 días,2021-07-01,"Trinidad Ramírez 1 - 300, Metro La Cisterna, La Cisterna, RM (Metropolitana)",250.000,,"0,22 UF/m²",,38 m²,34 m²,1,1,,,,,,,,
562,Arriendo En Comuna De La Cisterna R.m  Luminoso Departamento,Departamento,Publicado hace 1 día,2021-07-01,"Carvajal 358 - Departamento 1200 - 1500, La Cisterna, RM (Metropolitana)",380.000,,"0,28 UF/m²","0,26 UF/m²",45 m²,45 m²,2,2,,,,,,,,
563,Deptos Nuevos Lo Ovalle- Gran Avenida,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Lo Ovalle 1 - 300, Lo Ovalle, La Cisterna, RM (Metropolitana)",280.000,,"0,26 UF/m²",,36.61 m²,33 m²,1,1,,,,,,,,
564,Depto Nuevo Dos Habitaciones Dos Baños,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Lo Ovalle 1 - 300, Lo Ovalle, La Cisterna, RM (Metropolitana)",340.000,,"0,24 UF/m²","0,26 UF/m²",46.77 m²,43.41 m²,2,2,,,,,,,,
565,Metro Departamental,Departamento,Publicado hace 1 año,2021-07-01,"Metro Departamental, Lo Cañas - Alto Macul, La Florida, RM (Metropolitana)",380.000,,"0,2 UF/m²","0,22 UF/m²",65 m²,65 m²,2,2,,,,,,,,
566,Calle Nueva 141,Departamento,Publicado hace 1 año,2021-07-01,"Calle Nueva 141, Plaza Vespucio, La Florida, RM (Metropolitana)",360.000,,"0,21 UF/m²","0,24 UF/m²",57 m²,55 m²,2,2,,,,,,,,
567,San Jorge 930 - Departamento 503,Departamento,Publicado hace 1 año,2021-07-01,"San Jorge 930 - Departamento 503, Los Quillayes, La Florida, RM (Metropolitana)",380.000,,"0,24 UF/m²",,54 m²,54 m²,3,1,,,,,,,,
568,Froilán Lagos Sepúlveda 1500,Departamento,Publicado hace 1 año,2021-07-01,"Froilán Lagos Sepúlveda 1500, Plaza Vespucio, La Florida, RM (Metropolitana)",260.000,,"0,21 UF/m²","0,28 UF/m²",40.81 m²,34.31 m²,1,1,,45000 CLP,,,,,,
569,Cercano A Metro Macul Y Vicuña Mackenna,Departamento,Publicado hace 11 meses,2021-07-01,"Froilán Lagos Sepúlveda 1200 - 1500, Plaza Vespucio, La Florida, RM (Metropolitana)",270.000,,"0,28 UF/m²","0,28 UF/m²",33 m²,29 m²,1,1,,,,,,,,
570,Vicuña Mackenna 6130 - Departamento 1601,Departamento,Publicado hace 9 meses,2021-07-01,"Vicuña Mackenna 6130 - Departamento 1601, Metro Mirador, La Florida, RM (Metropolitana)",360.000,,"0,29 UF/m²","0,28 UF/m²",42 m²,40 m²,1,1,,45000 CLP,,,,,,
