,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Orientación,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Bodegas
1118,Las Condes Design,Departamento,Publicado hace 7 meses,2021-07-01,"Las Condes Design, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",630.000,,"0,39 UF/m²",,54 m²,54 m²,1,1,1,,,,,,,
1119,Málaga 79,Departamento,Publicado hace 7 meses,2021-07-01,"Málaga 79, Barrio El Golf, Las Condes, RM (Metropolitana)",440.000,,"0,31 UF/m²","0,37 UF/m²",48 m²,48 m²,1,1,1,,,,,,,
1120,El Golf,Departamento,Publicado hace 51 días,2021-07-01,"El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",625.000,,"0,38 UF/m²","0,37 UF/m²",55 m²,50 m²,1,1,1,,,,,,,
1121,"Vista Despejada Al ** Club De Golf **, Moderno Y Seguro ...",Departamento,Publicado hace 7 meses,2021-07-01,"Vista Despejada Al ** Club De Golf **, Moderno Y Seguro De Gran Categoria, Barrio El Golf, Las Condes, RM (Metropolitana)",2.000.000,,"0,32 UF/m²","0,28 UF/m²",210 m²,150 m²,4,4,2,450000 CLP,,,,,,
1122,Cerca Del Metro Escuela Militar Y Metro Alcantara ,Departamento,Publicado hace 7 meses,2021-07-01,"El Dante  4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",450.000,,"0,38 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,1,76000 CLP,,,,,,
1123,Hamlet / Las Torcazas,Departamento,Publicado hace 7 meses,2021-07-01,"Hamlet / Las Torcazas, Metro Escuela Militar, Las Condes, RM (Metropolitana)",2.600.000,,"0,51 UF/m²","0,26 UF/m²",173 m²,128 m²,3,3,2,,,,,,,
1124,Metro Escuela Miilitar,Departamento,Publicado hace 7 meses,2021-07-01,"Metro Escuela Miilitar, Metro Escuela Militar, Las Condes, RM (Metropolitana)",650.000,,"0,34 UF/m²","0,33 UF/m²",65 m²,65 m²,2,2,1,,,,,,,
1125,Americo Vespucio Norte / Los Militares,Departamento,Publicado hace 7 meses,2021-07-01,"Americo Vespucio Norte / Los Militares, Metro Escuela Militar, Las Condes, RM (Metropolitana)",16,475.405,"0,35 UF/m²","0,37 UF/m²",46 m²,38 m²,1,1,1,80000 CLP,,,,,,
1126,Rosario Sur 234,Departamento,Publicado hace 7 meses,2021-07-01,"Rosario Sur 234, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",950.000,,"0,24 UF/m²","0,28 UF/m²",136 m²,120 m²,3,3,1,200000 CLP,,,,,,
1127,"Amoblado / Metro El Golf, Pdte Riesco",Departamento,Publicado hace 42 días,2021-07-01,"Amoblado / Metro El Golf, Pdte Riesco, Barrio El Golf, Las Condes, RM (Metropolitana)",22,653.682,"0,44 UF/m²","0,37 UF/m²",50 m²,50 m²,1,1,,140000 CLP,,,,,,
1128,La Gloria 120,Departamento,Publicado hace 7 meses,2021-07-01,"La Gloria 120, Metro Escuela Militar, Las Condes, RM (Metropolitana)",430.000,,"0,26 UF/m²",,55 m²,51 m²,1,1,1,80000 CLP,,,,,,
1129,"Glamis, Amoblado Impecable",Departamento,Publicado hace 7 meses,2021-07-01,"Glamis, Amoblado Impecable, Barrio El Golf, Las Condes, RM (Metropolitana)",740.000,,"0,21 UF/m²",,120 m²,95 m²,1,2,,,,,,,,
1130,Plaza Peru,Departamento,Publicado hace 7 meses,2021-07-01,"Plaza Peru, Barrio El Golf, Las Condes, RM (Metropolitana)",2.350.000,,"0,33 UF/m²","0,24 UF/m²",240 m²,218 m²,4,5,2,500000 CLP,,,,,,
1131,San Damian / Las Condes,Departamento,Publicado hace 3 meses,2021-07-01,"San Damian / Las Condes, San Damián, Las Condes, RM (Metropolitana)",1.600.000,,"0,28 UF/m²",,195 m²,190 m²,2,2,2,,,,,,,
1132,Metro El Golf,Departamento,Publicado hace 7 meses,2021-07-01,"Metro El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",600.000,,"0,4 UF/m²","0,37 UF/m²",50 m²,45 m²,1,1,,85000 CLP,,,,,,
1133,Fabuloso Full Equipado A Pasos Del Metro Escuela Militar,Departamento,Publicado hace 7 meses,2021-07-01,"Fabuloso Full Equipado A Pasos Del Metro Escuela Militar, Barrio El Golf, Las Condes, RM (Metropolitana)",500.000,,"0,34 UF/m²","0,37 UF/m²",50 m²,45 m²,1,1,1,,,,,,,
1134,Club De Golf / Plaza Loreto / Edificio Exclusivo,Departamento,,2021-07-01,"Club De Golf / Plaza Loreto / Edificio Exclusivo, Barrio El Golf, Las Condes, RM (Metropolitana)",75,2.228.460,"0,2 UF/m²","0,24 UF/m²",370 m²,340 m²,4,4,3,,,,,,,
1135,Plaza Navidad Torcazas / La Gioconda,Departamento,Publicado hace 6 meses,2021-07-01,"Plaza Navidad Torcazas / La Gioconda, Metro Escuela Militar, Las Condes, RM (Metropolitana)",1.350.000,,"0,35 UF/m²","0,29 UF/m²",130 m²,110 m²,3,4,1,200000 CLP,,,,,,
1136,El Golf,Departamento,Publicado hace 6 meses,2021-07-01,"El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",55,1.634.204,"0,35 UF/m²","0,28 UF/m²",156 m²,140 m²,3,3,2,,,,,,,
