,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
3131,Código: 101134464,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,En Condominio Camino Mirasol / 2.640 m2 terreno,UF 58.000,$ 1.712.709.840,5,8,2.640 m²,465 m²,,687.966.691,10-06-2021,2020 1ºSem,80,-33.3978,-70.5266
3132,Código: 1548997,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,"Casa Los Dominicos Antiguo, Arq. Sartori",UF 55.000,$ 1.624.121.400,4,4,2.421 m²,488 m²,488 m²,862.535.942,12-12-2018,2020 1ºSem,80,-33.3922,-70.5212
3133,,,,,UF 31.000,$ 915.413.880,5,4,1.000 m²,360 m²,,323.392.843,11-05-2021,2020 1ºSem,80,-33.3926,-70.5229
3134,Código: Add559332,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Sector San Carlos de Apoquindo,UF 14.300,$ 422.271.564,5,4,270 m²,,193 m²,167.411.357,15-11-2018,2020 1ºSem,80,-33.3948249,-70.5222866
3135,Código: 20681,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Condominio - La Fuente,UF 32.000,$ 944.943.360,4,4,540 m²,300 m²,,305.616.379,18-06-2021,2020 1ºSem,80,-33.391,-70.521
3136,,,,,,:precioDespliegue:,4,3,2.421 m²,488 m²,488 m²,862.535.942,07-02-2019,,,-33.3909,-70.5208
3137,,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Las Flores,UF 24.000,$ 708.707.520,5,4,1.480 m²,316 m²,,358.090.507,10-11-2020,2020 1ºSem,80,-33.399,-70.5226
3138,,,Casa en Venta Usado Colina - Metropolitana Ver ubicación,Las Brisas,UF 19.000,$ 561.060.120,3,3,1.592 m²,243 m²,,193.416.074,24-06-2021,2020 1ºSem,48,-33.2148,-70.6541
3139,Código: 101008580,Casa,Casa en Venta Usado Colina - Metropolitana Ver ubicación,Las Brisas de Chicureo,UF 19.900,$ 587.636.652,5,4,2.429 m²,282 m²,282 m²,280.052.075,03-01-2020,,,-33.2197,-70.6584
3140,Código: FPV3199,Casa,Casa en Venta Usado Colina - Metropolitana Ver ubicación,Chicureo Norte - LAS BRISAS DE CHICUREO,UF 15.980,$ 471.881.090,4,4,,290 m²,,34.996.665,17-04-2019,2020 1ºSem,48,-33.2185,-70.6589
3141,Código: 102161936,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Golf de Manquehue,UF 42.900,$ 1.266.814.692,3,3,,451 m²,796 m²,461.743.658,19-05-2021,2020 1ºSem,105,-33.3429,-70.5613
3142,Código: Add486180,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Exclusivo Departamento en Golf de Manquehue,UF 23.000,$ 679.178.040,3,4,,,210 m²,344.739.602,25-06-2018,2020 1ºSem,105,-33.3428726,-70.5637894
3143,Código: 102075360,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Golf de Manquehue/ Los Trapenses,UF 29.900,$ 882.931.452,4,4,,260 m²,374 m²,456.668.310,03-09-2020,2020 1ºSem,105,-33.3429,-70.5613
3144,Código: 101057442,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Camino Gran Vista / Manquecura,UF 44.940,$ 1.327.054.831,5,5,1.000 m²,400 m²,400 m²,154.681.826,06-02-2019,2020 1ºSem,72,-33.3407,-70.565
3145,,,,Antofagasta / San Vicente,UF 20.838,$ 615.335.304,4,2,884 m²,564 m²,,214.019.559,30-05-2021,2020 1ºSem,24,-33.4663,-70.6753
3146,Código: 101376104,Casa,Casa en Venta Usado Santiago - Metropolitana Ver ubicación,San Vicente / Antofagasta,UF 15.700,$ 463.612.836,4,1,925 m²,388 m²,,111.791.499,30-05-2021,2020 1ºSem,24,-33.466,-70.6756
3147,Código: 28421,Departamento,Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación,Rinconada el salto,UF 6.500,$ 191.941.620,3,2,,88 m²,100 m²,86.272.706,09-06-2021,2020 1ºSem,59,-33.384,-70.6102
3148,Código: 102006220,Departamento,Departamento en Venta Usado Huechuraba - Metropolitana Ver ubicación,Bosques De La Pirámide/ Cuidad Empresarial/2D-2B/ 68m2 /w1,UF 5.200,$ 153.553.296,2,2,,52 m²,66 m²,53.238.653,04-06-2021,2020 1ºSem,59,-33.3836,-70.6103
